HS Code (HS 2012),Unnamed: 0,Product-
,Product Description,
Chapter Heading Subheading,,Specific Rule
,,CTH or
9030.90,- Parts and accessories,
,,RVC40
,"Measuring or checking instruments,",
,"appliances and machines, not specified or",
90.31,,
,included elsewhere in this Chapter; profile,
,projectors,
,,CTSH or
9031.10,- Machines for balancing mechanical parts,
,,RVC40
,,CTSH or
9031.20,- Test benches,
,,RVC40
,- Other optical instruments and appliances,
,-- For inspecting semiconductor wafers or,
,devices or for inspecting photomasks or,CTSH or
9031.41,,
,reticles used in manufacturing,RVC40
,semiconductor devices,
,,CTSH or
9031.49,-- Other,
,,RVC40
,"- Other instruments, appliances and",CTSH or
9031.80,,
,machines,RVC40
,,CTH or
9031.90,- Parts and accessories,
,,RVC40
,Automatic regulating or controlling,
90.32,,
,instruments and apparatus,
,,CTSH or
9032.10,- Thermostats,
,,RVC40
,,CTSH or
9032.20,- Manostats,
,,RVC40
,- Other instruments and apparatus,
,,CTSH or
9032.81,-- Hydraulic or pneumatic,
,,RVC40
,,CTH or
9032.89,-- Other,
,,RVC40
,,CTH or
9032.90,- Parts and accessories,
,,RVC40
,Parts and accessories (not specified or,
,included elsewhere in this Chapter) for,CTH or
90.33 9033.00,,
,"machines, appliances, instruments or",RVC40
,apparatus of Chapter 90,
,CHAPTER 91: CLOCKS AND WATCHES,
91,,
,AND PARTS THEREOF,
,"Wrist-watches, pocket-watches and other",
,"watches, including stop-watches, with case",CTH or
91.01,,
,of precious metal or of metal clad with,RVC40
,precious metal,
