HS Code (HS 2012),Unnamed: 0,Unnamed: 1,Unnamed: 2,Product-
,,Product Description,,
Chapter Heading Subheading,,,,Specific Rule
,OF,"PRECIOUS METALS, OF RARE-",,
,EARTH,"METALS, OF RADIOACTIVE",,
,ELEMENTS OR OF ISOTOPES,,,
28.01,"Fluorine, chlorine, bromine and iodine",,,
,,,,CTH or
2801.10,- Chlorine,,,
,,,,RVC40
,,,,CTSH or
2801.20,- Iodine,,,
,,,,RVC40
,,,,CTSH or
2801.30,- Fluorine; bromine,,,
,,,,RVC40
,"Sulphur, sublimed or precipitated; colloidal",,,CTH or
28.02 2802.00,,,,
,sulphur,,,RVC40
,Carbon (carbon blacks and other forms of,,,CTH or
28.03 2803.00,,,,
,carbon not elsewhere specified or included),,,RVC40
,,,,CTH or
28.04,"Hydrogen, rare gases and other non-metals",,,
,,,,RVC40
,Alkali,or alkaline-earth metals; rare-earth,,
,,,,CTH or
28.05,"metals, scandium and yttrium, whether or not",,,
,,,,RVC40
,intermixed or interalloyed; mercury,,,
,Hydrogen,chloride (hydrochloric acid);,,
28.06,,,,
,chlorosulphuric acid,,,
,,,,CTH or
2806.10,- Hydrogen chloride (hydrochloric acid),,,
,,,,RVC40
,,,,CTSH or
2806.20,- Chlorosulphuric acid,,,
,,,,RVC40
,,,,CTH or
28.07 2807.00,Sulphuric acid; oleum,,,
,,,,RVC40
,,,,CTH or
28.08 2808.00,Nitric acid; sulphonitric acids,,,
,,,,RVC40
,Diphosphorus pentaoxide; phosphoric acid;,,,
,,,,CTH or
28.09,polyphosphoric,"acids, whether or not",,
,,,,RVC40
,chemically defined,,,
,,,,CTH or
28.10 2810.00,Oxides of boron; boric acids,,,
,,,,RVC40
,Other inorganic acids and other,inorganic,,CTSH or
28.11,,,,
,oxygen compounds of non-metals,,,RVC40
,,,,CTH or
28.12,Halides and halide oxides of non-metals,,,
,,,,RVC40
,Sulphides,of non-metals; commercial,,CTH or
28.13,,,,
,phosphorus trisulphide,,,RVC40
,,,,CTH or
28.14,"Ammonia, anhydrous or in aqueous solution",,,
,,,,RVC40
