HS Code (HS 2012),Unnamed: 0,Unnamed: 1,Product-
,,Product Description,
Chapter Heading Subheading,,,Specific Rule
0801.22,-- Shelled,,CC
,- Cashew nuts,,
0801.31,-- In shell,,CC
,,,CC or
0801.32,-- Shelled,,
,,,RVC40
,"Other nuts, fresh or dried, whether or not",,
08.02,,,
,shelled or peeled,,
,- Almonds,,
0802.11,-- In shell,,CC
,,,CC or
0802.12,-- Shelled,,
,,,RVC40
,- Hazelnuts or filberts (Corylus spp.),,
0802.21,-- In shell,,CC
,,,CC or
0802.22,-- Shelled,,
,,,RVC40
,- Walnuts,,
0802.31,-- In shell,,CC
,,,CC or
0802.32,-- Shelled,,
,,,RVC40
,- Chestnuts (Castanea spp.),,
0802.41,-- In shell,,CC
,,,CC or
0802.42,-- Shelled,,
,,,RVC40
,- Pistachios,,
0802.51,-- In shell,,CC
,,,CC or
0802.52,-- Shelled,,
,,,RVC40
,- Macadamia nuts,,
0802.61,-- In shell,,CC
,,,CC or
0802.62,-- Shelled,,
,,,RVC40
0802.70,- Kola nuts (Cola spp.),,CC
0802.80,- Areca nuts,,CC
0802.90,- Other,,CC
08.03,"Bananas, including plantains, fresh or dried",,CC
,"Dates, figs, pineapples, avocados, guavas,",,
08.04,,,CC
,"mangoes and mangosteens, fresh or dried",,
08.05,"Citrus fruit, fresh or dried",,CC
08.06,"Grapes, fresh or dried",,CC
,Melons,(including watermelons) and,
08.07,,,CC
,"pawpaws (papayas), fresh",,
