HS Code (HS 2012),Unnamed: 0,Product-
,Product Description,
Chapter Heading Subheading,,Specific Rule
,CHAPTER 7: EDIBLE VEGETABLES AND,
07,,
,CERTAIN ROOTS AND TUBERS,
07.01,"Potatoes, fresh or chilled",WO
07.02 0702.00,"Tomatoes, fresh or chilled",WO
,"Onions, shallots, garlic, leeks and other",
07.03,,WO
,"alliaceous vegetables, fresh or chilled",
,"Cabbages, cauliflowers, kohlrabi, kale and",
07.04,,WO
,"similar edible brassicas, fresh or chilled",
,Lettuce (Lactuca sativa) and chicory,
07.05,,WO
,"(Cichorium spp.), fresh or chilled",
,"Carrots, turnips, salad beetroot, salsify,",
07.06,"celeriac, radishes and similar edible roots,",WO
,fresh or chilled,
07.07 0707.00,"Cucumbers and gherkins, fresh or chilled",WO
,"Leguminous vegetables, shelled or",
07.08,,WO
,"unshelled, fresh or chilled",
07.09,"Other vegetables, fresh or chilled",WO
,Vegetables (uncooked or cooked by,
07.10,,CC
,"steaming or boiling in water), frozen",
,Vegetables provisionally preserved (for,
,"example, by sulphur dioxide gas, in brine, in",
07.11,sulphur water or in other preservative,CC
,"solutions), but unsuitable in that state for",
,immediate consumption,
,"Dried vegetables, whole, cut, sliced, broken",
07.12,,CC
,"or in powder, but not further prepared",
,"Dried leguminous vegetables, shelled,",
07.13,,CC
,whether or not skinned or split,
,"Manioc, arrowroot, salep, Jerusalem",
,"artichokes, sweet potatoes and similar roots",
07.14,"and tubers with high starch or inulin content,",CC
,"fresh, chilled, frozen or dried, whether or not",
,sliced or in the form of pellets; sago pith,
,CHAPTER 8: EDIBLE FRUIT AND NUTS;,
08,,
,PEEL OF CITRUS FRUIT OR MELONS,
,"Coconuts, Brazil nuts and cashew nuts, fresh",
08.01,,
,"or dried, whether or not shelled or peeled",
,- Coconuts,
0801.11,-- Desiccated,CC
0801.12,-- In the inner shell (endocarp),CC
0801.19,-- Other,CC
,- Brazil nuts,
0801.21,-- In shell,CC
