HS Code (HS 2012),Unnamed: 0,Product-
,Product Description,
Chapter Heading Subheading,,Specific Rule
,consisting of a microphone and one or more,
,loudspeakers,
,,CTSH or
8518.40,- Audio-frequency electric amplifiers,
,,RVC40
,,CTSH or
8518.50,- Electric sound amplifier sets,
,,RVC40
,,CTH or
8518.90,- Parts,
,,RVC40
,,CTH or
85.19,Sound recording or reproducing apparatus,
,,RVC40
,"Video recording or reproducing apparatus,",CTH or
85.21,,
,whether or not incorporating a video tuner,RVC40
,Parts and accessories suitable for use solely,
,,CTH or
85.22,or principally with the apparatus of heading,
,,RVC40
,85.19 or 85.21,
,"Discs, tapes, solid-state non-volatile storage",
,"devices, “smart cards” and other media for",
,the recording of sound or of other,
,,CTH or
85.23,"phenomena, whether or not recorded,",
,,RVC40
,including matrices and masters for the,
,"production of discs, but excluding products of",
,Chapter 37,
,Transmission apparatus for radio-,
,"broadcasting or television, whether or not",
,incorporating reception apparatus or sound,CTH or
85.25,,
,recording or reproducing apparatus;,RVC40
,"television cameras, digital cameras and",
,video camera recorders,
,"Radar apparatus, radio navigational aid",
,,CTH or
85.26,apparatus and radio remote control,
,,RVC40
,apparatus,
,"Reception apparatus for radio-broadcasting,",
,"whether or not combined, in the same",CTH or
85.27,,
,"housing, with sound recording or",RVC40
,reproducing apparatus or a clock,
,"Monitors and projectors, not incorporating",
,television reception apparatus; reception,
,"apparatus for television, whether or not",CTH or
85.28,,
,incorporating radio-broadcast receivers or,RVC40
,sound or video recording or reproducing,
,apparatus,
,Parts suitable for use solely or principally,
,,CTH or
85.29,with the apparatus of headings 85.25 to,
,,RVC40
,85.28,
