HS Code (HS 2012),Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Product-
,,Product Description,,,
Chapter Heading Subheading,,,,,Specific Rule
,"Pigs’,",hogs’ or boars’ bristles and,hair;,,
05.02,badger hair and other brush making hair;,,,,CC
,waste of such bristles or hair,,,,
,"Guts,",bladders and stomachs of animals,,,
,,,,,CC except
,"(other than fish), whole and pieces thereof,",,,,
05.04 0504.00,,,,,from Chapter
,"fresh, chilled, frozen, salted, in brine, dried or",,,,
,,,,,01
,smoked,,,,
,Skins,"and other parts of birds, with",their,,
,feathers,"or down, feathers and parts",of,,
,feathers (whether or not with trimmed edges),,,,
05.05,"and down, not further worked than cleaned,",,,,CC
,disinfected,or treated for preservation;,,,
,powder and waste of feathers or parts of,,,,
,feathers,,,,
,"Bones and horn-cores, unworked, defatted,",,,,
,simply,"prepared (but not cut to shape),",,,
05.06,,,,,CC
,treated with acid or degelatinised; powder,,,,
,and waste of these products,,,,
,"Ivory,","tortoise-shell, whalebone",and,,
,whalebone,"hair, horns, antlers, hooves,",,,
05.07,"nails, claws and beaks, unworked or simply",,,,CC
,prepared but not cut to shape; powder and,,,,
,waste of these products,,,,
,Coral,"and similar materials, unworked",or,,
,simply prepared but not otherwise worked;,,,,
,shells,"of molluscs, crustaceans",or,,
05.08 0508.00,,,,,CC
,"echinoderms and cuttle-bone, unworked or",,,,
,"simply prepared but not cut to shape, powder",,,,
,and waste thereof,,,,
,"Ambergris,","castoreum, civet and musk;",,,
,cantharides;,"bile, whether or not dried;",,,
,glands and other animal products used in the,,,,
05.10 0510.00,,,,,CC
,preparation,"of pharmaceutical products,",,,
,"fresh,","chilled, frozen or otherwise",,,
,provisionally preserved,,,,
,Animal products not elsewhere specified or,,,,
05.11,"included; dead animals of Chapter 1 or 3,",,,,CC
,unfit for human consumption,,,,
,,SECTION II,,,
,VEGETABLE PRODUCTS,,,,
,CHAPTER 6: LIVE TREES,AND OTHER,,,
,"PLANTS; BULBS, ROOTS AND THE LIKE;",,,,CC or
06,,,,,
,CUT,FLOWERS AND ORNAMENTAL,,,RVC40
,FOLIAGE,,,,
