HS Code (HS 2012),Unnamed: 0,Unnamed: 1,Unnamed: 2,Product-
,,Product Description,,
Chapter Heading Subheading,,,,Specific Rule
,,,,CTSH or
8110.90,- Other,,,
,,,,RVC40
,"Manganese and articles thereof,",including,,CC or
81.11 8111.00,,,,
,waste and scrap,,,RVC40
,"Beryllium, chromium, germanium, vanadium,",,,
,"gallium,","hafnium, indium, niobium",,
81.12,"(columbium),","rhenium and thallium, and",,
,"articles of these metals, including waste and",,,
,scrap,,,
,- Beryllium,,,
,,,,CTSH or
8112.12,-- Unwrought; powders,,,
,,,,RVC40
8112.13,-- Waste and scrap,,,CTSH
,,,,CTSH or
8112.19,-- Other,,,
,,,,RVC40
,- Chromium,,,
,,,,CTSH or
8112.21,-- Unwrought; powders,,,
,,,,RVC40
8112.22,-- Waste and scrap,,,CTSH
,,,,CTSH or
8112.29,-- Other,,,
,,,,RVC40
,- Thallium,,,
,,,,CTSH or
8112.51,-- Unwrought; powders,,,
,,,,RVC40
8112.52,-- Waste and scrap,,,CTSH
,,,,CTSH or
8112.59,-- Other,,,
,,,,RVC40
,- Other,,,
,,,,CTH or
8112.92,-- Unwrought; waste and scrap; powders,,,
,,,,RVC40
,,,,CTSH or
8112.99,-- Other,,,
,,,,RVC40
,"Cermets and articles thereof, including waste",,,CC or
81.13 8113.00,,,,
,and scrap,,,RVC40
,CHAPTER,"82: TOOLS, IMPLEMENTS,",,
,"CUTLERY,","SPOONS AND FORKS, OF",,CC or
82,,,,
,BASE,METAL; PARTS THEREOF OF,,RVC40
,BASE METAL,,,
,CHAPTER,83: MISCELLANEOUS,,
83,,,,
,ARTICLES OF BASE METAL,,,
,Padlocks,"and locks (key, combination or",,
,"electrically operated), of base metal; clasps",,,
83.01,"and frames with clasps, incorporating locks,",,,
,of base metal; keys for any of the foregoing,,,
,"articles, of base metal",,,
