HS Code (HS 2012),Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Product-
,,Product Description,,,
Chapter Heading Subheading,,,,,Specific Rule
,-,Constant weight scales and scales,for,,
,discharging,a predetermined weight,of,,CTSH or
8423.30,,,,,
,"material into a bag or container, including",,,,RVC40
,hopper scales,,,,
,- Other weighing machinery,,,,
,-- Having a maximum weighing capacity not,,,,CTSH or
8423.81,,,,,
,exceeding 30 kg,,,,RVC40
,--,Having a maximum weighing capacity,,,CTSH or
8423.82,,,,,
,"exceeding 30 kg but not exceeding 5,000 kg",,,,RVC40
,,,,,CTSH or
8423.89,-- Other,,,,
,,,,,RVC40
,-,Weighing machine weights of all kinds;,,,CTH or
8423.90,,,,,
,parts of weighing machinery,,,,RVC40
,Mechanical appliances (whether or not hand-,,,,
,operated),"for projecting, dispersing",or,,
,spraying,liquids or powders;,fire,,
84.24,"extinguishers, whether or not charged; spray",,,,
,guns and similar appliances; steam or sand,,,,
,blasting machines and similar jet projecting,,,,
,machines,,,,
,,,,,CTSH or
8424.10,"- Fire extinguishers, whether or not charged",,,,
,,,,,RVC40
,,,,,CTSH or
8424.20,- Spray guns and similar appliances,,,,
,,,,,RVC40
,-,Steam or sand blasting machines and,,,CTSH or
8424.30,,,,,
,similar jet projecting machines,,,,RVC40
,- Other appliances,,,,
,,,,,CTSH or
8424.81,-- Agricultural or horticultural,,,,
,,,,,RVC40
,,,,,CTSH or
8424.89,-- Other,,,,
,,,,,RVC40
,,,,,CTH or
8424.90,- Parts,,,,
,,,,,RVC40
,Pulley,tackle and hoists other than skip,,,CTH or
84.25,,,,,
,hoists; winches and capstans; jacks,,,,RVC40
,Ships’,"derricks; cranes, including cable",,,
,,,,,CTH or
84.26,cranes;,"mobile lifting frames, straddle",,,
,,,,,RVC40
,carriers and works trucks fitted with a crane,,,,
,Fork-lift trucks; other works trucks fitted with,,,,CTH or
84.27,,,,,
,lifting or handling equipment,,,,RVC40
,"Other lifting, handling, loading or unloading",,,,
,,,,,CTH or
84.28,machinery,"(for example, lifts, escalators,",,,
,,,,,RVC40
,"conveyors, teleferics)",,,,
,Self-propelled,"bulldozers, angledozers,",,,CTH or
84.29,,,,,
,"graders,","levellers, scrapers, mechanical",,,RVC40
