HS Code (HS 2012),Unnamed: 0,Unnamed: 1,Product-
,Product Description,,
Chapter Heading Subheading,,,Specific Rule
,"Mushrooms and truffles, prepared or",,
20.03,preserved otherwise than by vinegar or,,CC
,acetic acid,,
,Other vegetables prepared or preserved,,
20.04,"otherwise than by vinegar or acetic acid,",,CC
,"frozen, other than products of heading 20.06",,
,Other vegetables prepared or preserved,,
20.05,"otherwise than by vinegar or acetic acid, not",,CC
,"frozen, other than products of heading 20.06",,
,"Vegetables, fruit, nuts, fruit-peel and other",,
20.06 2006.00,"parts of plants, preserved by sugar (drained,",,CC
,glacé or crystallised),,
,"Jams, fruit jellies, marmalades, fruit or nut",,
,"purée and fruit or nut pastes, obtained by",,
20.07,,,CC
,"cooking, whether or not containing added",,
,sugar or other sweetening matter,,
,"Fruit, nuts and other edible parts of plants,",,
,"otherwise prepared or preserved, whether or",,
20.08,not containing added sugar or other,,
,"sweetening matter or spirit, not elsewhere",,
,specified or included,,
,"- Nuts, ground-nuts and other seeds,",,
,,,
,whether or not mixed together,,
2008.11,-- Ground-nuts,,CC
2008.19,"-- Other, including mixtures",,CC
2008.20,- Pineapples,,CC
2008.30,- Citrus fruit,,CC
2008.40,- Pears,,CC
2008.50,- Apricots,,CC
2008.60,- Cherries,,CC
2008.70,"- Peaches, including nectarines",,CC
2008.80,- Strawberries,,CC
,"- Other, including mixtures other than those",,
,,,
,of subheading 2008.19,,
2008.91,-- Palm hearts,,CC
,"-- Cranberries (Vaccinium macrocarpon,",,
2008.93,,,CC
,"Vaccinium oxycoccos, Vaccinium vitis-idaea)",,
,,,CC or
2008.97,-- Mixtures,,
,,,RVC40
2008.99,-- Other,,CC
,Fruit juices (including grape must) and,,
20.09,"vegetable juices, unfermented and not",,
,"containing added spirit, whether or not",,
