HS Code (HS 2012),Unnamed: 0,Unnamed: 1,Unnamed: 2,Product-
,,Product Description,,
Chapter Heading Subheading,,,,Specific Rule
,"plates,",cylinders and other printing,,
,components of heading 84.42,,,
,,,,CTH or
8443.99,-- Other,,,
,,,,RVC40
,"Machines for extruding, drawing, texturing or",,,CTH or
84.44 8444.00,,,,
,cutting man-made textile materials,,,RVC40
,Machines,for preparing textile fibres;,,
,"spinning, doubling or twisting machines and",,,
,other machinery for producing textile yarns;,,,
,,,,CTH or
84.45,textile,reeling or winding (including weft-,,
,,,,RVC40
,winding),machines and machines for,,
,preparing,textile yarns for use on the,,
,machines of heading 84.46 or 84.47,,,
,,,,CTH or
84.46,Weaving machines (looms),,,
,,,,RVC40
,"Knitting machines, stitch-bonding machines",,,
,"and machines for making gimped yarn, tulle,",,,CTH or
84.47,,,,
,"lace, embroidery, trimmings, braid or net and",,,RVC40
,machines for tufting,,,
,Auxiliary machinery for use with machines of,,,
,"heading 84.44, 84.45, 84.46 or 84.47 (for",,,
,"example,","dobbies, Jacquards, automatic",,
,stop,"motions, shuttle changing",,
,mechanisms);,parts and accessories,,
84.48,suitable for use solely or principally with the,,,
,machines,of this heading or of heading,,
,"84.44, 84.45, 84.46 or 84.47 (for example,",,,
,spindles,"and spindle flyers, card clothing,",,
,"combs, extruding nipples, shuttles, healds",,,
,"and heald-frames, hosiery needles)",,,
,- Auxiliary,machinery for machines of,,
,,,,
,"heading 84.44, 84.45, 84.46 or 84.47",,,
,"-- Dobbies and Jacquards; card reducing,",,,
,,,,CTSH or
8448.11,"copying, punching or assembling machines",,,
,,,,RVC40
,for use therewith,,,
,,,,CTSH or
8448.19,-- Other,,,
,,,,RVC40
,- Parts,and accessories of machines of,,CTH or
8448.20,,,,
,heading 84.44 or of their auxiliary machinery,,,RVC40
,- Parts,and accessories of machines of,,
,,,,
,heading 84.45 or of their auxiliary machinery,,,
,,,,CTH or
8448.31,-- Card clothing,,,
,,,,RVC40
,"-- Of machines for preparing textile fibres,",,,CTH or
8448.32,,,,
,other than card clothing,,,RVC40
