HS Code (HS 2012),Unnamed: 0,Unnamed: 1,Unnamed: 2,Product-
,,Product Description,,
Chapter Heading Subheading,,,,Specific Rule
,-,Sharpening (tool or cutter grinding),,
,,,,
,machines,,,
,,,,CTH except
,,,,from
8460.31,-- Numerically controlled,,,subheading
,,,,"8537.10, or"
,,,,RVC40
,,,,CTH or
8460.39,-- Other,,,
,,,,RVC40
,,,,CTH except
,,,,from
8460.40,- Honing or lapping machines,,,subheading
,,,,"8537.10, or"
,,,,RVC40
,,,,CTH except
,,,,from
8460.90,- Other,,,subheading
,,,,"8537.10, or"
,,,,RVC40
,"Machine-tools for planing, shaping, slotting,",,,CTH except
,"broaching, gear cutting, gear grinding or gear",,,from
84.61,"finishing,","sawing, cutting-off and other",,subheading
,machine-tools working by removing metal or,,,"8537.10, or"
,"cermets, not elsewhere specified or included",,,RVC40
,Machine-tools,(including presses) for,,
,"working metal by forging, hammering or die-",,,
,stamping; machine-tools (including presses),,,
84.62,for,"working metal by bending, folding,",,
,"straightening, flattening, shearing, punching",,,
,or notching; presses for working metal or,,,
,"metal carbides, not specified above",,,
,,,,CTH except
,,,,from
,-,Forging or die-stamping machines,,
8462.10,,,,subheading
,(including presses) and hammers,,,
,,,,"8537.10, or"
,,,,RVC40
,"- Bending, folding, straightening or flattening",,,
,,,,
,machines (including presses),,,
,,,,CTH except
,,,,from
8462.21,-- Numerically controlled,,,subheading
,,,,"8537.10, or"
,,,,RVC40
,,,,CTH or
8462.29,-- Other,,,
,,,,RVC40
