HS Code (HS 2012),Unnamed: 0,Product-
,Product Description,
Chapter Heading Subheading,,Specific Rule
,"Oncorhynchus kisutch, Oncorhynchus",
,"masou and Oncorhynchus rhodurus),",
,Atlantic salmon (Salmo salar) and Danube,
,salmon (Huchohucho),
,"-- Herrings (Clupea harengus, Clupea",CC or
0305.42,,
,pallasii),RVC40
,"-- Trout (Salmo trutta, Oncorhynchus mykiss,",
,"Oncorhynchus clarki, Oncorhynchus",
,,CC or
0305.43,"aguabonita, Oncorhynchus gilae,",
,,RVC40
,Oncorhynchus apache and Oncorhynchus,
,chrysogaster),
,"-- Tilapias (Oreochromis spp.), catfish",
,"(Pangasius spp., Silurus spp., Clarias spp.,",
,"Ictalurus spp.), carp (Cyprinus carpio,",
,"Carassius carassius, Ctenopharyngodon",
0305.44,,CC
,"idellus, Hypophthalmichthys spp., Cirrhinus",
,"spp., Mylopharyngodon piceus), eels",
,"(Anguilla spp.), Nile perch (Lates niloticus)",
,and snakeheads (Channa spp.),
0305.49,-- Other,CC
,"- Dried fish, other than edible fish offal,",
,,
,whether or not salted but not smoked,
,"-- Cod (Gadus morhua, Gadus ogac, Gadus",CC or
0305.51,,
,macrocephalus),RVC40
0305.59,-- Other,CC
,"- Fish, salted but not dried or smoked and",
,,
,"fish in brine, other than edible fish offal",
,"-- Herrings (Clupea harengus, Clupea",
0305.61,,CTH
,pallasii),
,"-- Cod (Gadus morhua, Gadus ogac, Gadus",CC or
0305.62,,
,macrocephalus),RVC40
0305.63,-- Anchovies (Engraulis spp.),CTH
,"-- Tilapias (Oreochromis spp.), catfish",
,"(Pangasius spp., Silurus spp., Clarias spp.,",
,"Ictalurus spp.), carp (Cyprinus carpio,",
,"Carassius carassius, Ctenopharyngodon",
0305.64,,CC
,"idellus, Hypophthalmichthys spp., Cirrhinus",
,"spp., Mylopharyngodon piceus), eels",
,"(Anguilla spp.), Nile perch (Lates niloticus)",
,and snakeheads (Channa spp.),
0305.69,-- Other,CC
,"- Fish fins, heads, tails, maws and other",
,,
,edible fish offal,
