HS Code (HS 2012),Unnamed: 0,Unnamed: 1,Unnamed: 2,Product-
,,Product Description,,
Chapter Heading Subheading,,,,Specific Rule
,-,"Shearing machines (including presses),",,
,other than combined punching and shearing,,,
,machines,,,
,,,,CTH except
,,,,from
8462.31,-- Numerically controlled,,,subheading
,,,,"8537.10, or"
,,,,RVC40
,,,,CTH or
8462.39,-- Other,,,
,,,,RVC40
,- Punching or notching machines (including,,,
,"presses), including combined punching and",,,
,shearing machines,,,
,,,,CTH except
,,,,from
8462.41,-- Numerically controlled,,,subheading
,,,,"8537.10, or"
,,,,RVC40
,,,,CTH or
8462.49,-- Other,,,
,,,,RVC40
,- Other,,,
,,,,CTH except
,,,,from
8462.91,-- Hydraulic presses,,,subheading
,,,,"8537.10, or"
,,,,RVC40
,,,,CTH except
,,,,from
8462.99,-- Other,,,subheading
,,,,"8537.10, or"
,,,,RVC40
,Other,machine-tools for working metal or,,CTH or
84.63,,,,
,"cermets, without removing material",,,RVC40
,"Machine-tools for working stone, ceramics,",,,
,,,,CTH or
84.64,"concrete,",asbestos-cement or like mineral,,
,,,,RVC40
,materials or for cold working glass,,,
,Machine-tools,(including machines for,,
,"nailing,","stapling, glueing or otherwise",,
,,,,CTH or
84.65,"assembling) for working wood, cork, bone,",,,
,,,,RVC40
,"hard rubber, hard",plastics or similar hard,,
,materials,,,
,Parts and accessories suitable for use solely,,,
,or principally with the machines of headings,,,CTH or
84.66,,,,
,84.56,"to 84.65, including work or tool",,RVC40
,"holders,","self-opening dieheads, dividing",,
