HS Code (HS 2012),Unnamed: 0,Unnamed: 1,Product-
,,Product Description,
Chapter Heading Subheading,,,Specific Rule
,,,CTSH or
8104.19,-- Other,,
,,,RVC40
8104.20,- Waste and scrap,,CTSH
,"- Raspings, turnings and granules, graded",,CTSH or
8104.30,,,
,according to size; powders,,RVC40
,,,CTSH or
8104.90,- Other,,
,,,RVC40
,Cobalt,mattes and other intermediate,
81.05,products,of cobalt metallurgy; cobalt and,
,"articles thereof, including waste and scrap",,
,- Cobalt,mattes and other intermediate,
,,,CTSH or
8105.20,products,of cobalt metallurgy; unwrought,
,,,RVC40
,cobalt; powders,,
8105.30,- Waste and scrap,,CTSH
,,,CTSH or
8105.90,- Other,,
,,,RVC40
,"Bismuth and articles thereof, including waste",,CTH or
81.06 8106.00,,,
,and scrap,,RVC40
,Cadmium,"and articles thereof, including",
81.07,,,
,waste and scrap,,
,,,CTSH or
8107.20,- Unwrought cadmium; powders,,
,,,RVC40
8107.30,- Waste and scrap,,CTSH
,,,CTSH or
8107.90,- Other,,
,,,RVC40
,Titanium,"and articles thereof, including",
81.08,,,
,waste and scrap,,
,,,CTSH or
8108.20,- Unwrought titanium; powders,,
,,,RVC40
8108.30,- Waste and scrap,,CTSH
,,,CTSH or
8108.90,- Other,,
,,,RVC40
,Zirconium,"and articles thereof, including",
81.09,,,
,waste and scrap,,
,,,CTSH or
8109.20,- Unwrought zirconium; powders,,
,,,RVC40
8109.30,- Waste and scrap,,CTSH
,,,CTSH or
8109.90,- Other,,
,,,RVC40
,Antimony,"and articles thereof, including",
81.10,,,
,waste and scrap,,
,,,CTSH or
8110.10,- Unwrought antimony; powders,,
,,,RVC40
8110.20,- Waste and scrap,,CTSH
