HS Code (HS 2012),Unnamed: 0,Product-
,Product Description,
Chapter Heading Subheading,,Specific Rule
,"Densified wood, in blocks, plates, strips or",CTH or
44.13 4413.00,,
,profile shapes,RVC40
,"Wooden frames for paintings, photographs,",CTH or
44.14 4414.00,,
,mirrors or similar objects,RVC40
,"Packing cases, boxes, crates, drums and",
,"similar packings, of wood; cable-drums of",CTH or
44.15,,
,"wood; pallets, box pallets and other load",RVC40
,"boards, of wood; pallet collars of wood",
,"Casks, barrels, vats, tubs and other coopers’",
,,CTH or
44.16 4416.00,"products and parts thereof, of wood,",
,,RVC40
,including staves,
,"Tools, tool bodies, tool handles, broom or",
,,CTH or
44.17 4417.00,"brush bodies and handles, of wood; boot or",
,,RVC40
,"shoe lasts and trees, of wood",
,"Builders’ joinery and carpentry of wood,",
,,CTH or
44.18,"including cellular wood panels, assembled",
,,RVC40
,"flooring panels, shingles and shakes",
,,CTH or
44.19 4419.00,"Tableware and kitchenware, of wood",
,,RVC40
,Wood marquetry and inlaid wood; caskets,
,"and cases for jewellery or cutlery, and similar",
,,CTH or
44.20,"articles, of wood; statuettes and other",
,,RVC40
,"ornaments, of wood; wooden articles of",
,furniture not falling in Chapter 94,
,,CTH or
44.21,Other articles of wood,
,,RVC40
,CHAPTER 45: CORK AND ARTICLES OF,CTH or
45,,
,CORK,RVC40
,CHAPTER 46: MANUFACTURES OF,
,"STRAW, OF ESPARTO OR OF OTHER",
46,,
,PLAITING MATERIALS; BASKETWARE,
,AND WICKERWORK,
,Plaits and similar products of plaiting,
,"materials, whether or not assembled into",
,"strips; plaiting materials, plaits and similar",
46.01,"products of plaiting materials, bound",
,"together in parallel strands or woven, in",
,"sheet form, whether or not being finished",
,"articles (for example, mats, matting, screens)",
,"- Mats, matting and screens of vegetable",
,,
,materials,
,,CTH or
4601.21,-- Of bamboo,
,,RVC40
,,CTH or
4601.22,-- Of rattan,
,,RVC40
