HS Code (HS 2012),Unnamed: 0,Unnamed: 1,Product-
,Product Description,,
Chapter Heading Subheading,,,Specific Rule
"Rape,",colza or mustard oil and fractions,,
"15.14 thereof,","whether or not refined, but not",,CC
chemically modified,,,
Other fixed vegetable fats and oils (including,,,
"15.15 jojoba oil) and their fractions, whether or not",,,CC
"refined, but not chemically modified",,,
Animal or vegetable fats and oils and their,,,
"fractions,","partly or wholly hydrogenated,",,
"15.16 inter-esterified,","re-esterified or elaidinised,",,CC
whether,"or not refined, but not further",,
prepared,,,
Margarine; edible mixtures or preparations of,,,
animal or vegetable fats or oils or of fractions,,,
,,,CC or
"15.17 of different fats or oils of this Chapter, other",,,
,,,RVC40
than edible fats or oils or their fractions of,,,
heading 15.16,,,
Animal or vegetable fats and oils and their,,,
"fractions,","boiled, oxidised, dehydrated,",,
"sulphurised, blown, polymerised by heat in",,,
vacuum,or in inert gas or otherwise,,
chemically,"modified, excluding those of",,CC or
15.18 1518.00,,,
heading,15.16; inedible mixtures or,,RVC40
preparations of animal or vegetable fats or,,,
oils or of fractions of different fats or oils of,,,
"this Chapter,",not elsewhere specified or,,
included,,,
"Glycerol, crude; glycerol waters and glycerol",,,CC or
15.20 1520.00,,,
lyes,,,RVC40
"Vegetable waxes (other than triglycerides),",,,
"beeswax,",other insect waxes and,,
15.21,,,CC
"spermaceti,",whether or not refined or,,
coloured,,,
Degras;,residues resulting from the,,
15.22 1522.00 treatment of fatty substances or animal or,,,CC
vegetable waxes,,,
,SECTION IV,,
"PREPARED FOODSTUFFS; BEVERAGES, SPIRITS AND VINEGAR;",,,
TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES,,,
"CHAPTER 16: PREPARATIONS OF MEAT,",,,
OF FISH,"OR OF CRUSTACEANS,",,
16,,,
MOLLUSCS,OR OTHER AQUATIC,,
INVERTEBRATES,,,
