HS Code (HS 2012),Unnamed: 0,Unnamed: 1,Unnamed: 2,Product-
,,,Product Description,
Chapter Heading Subheading,,,,Specific Rule
,- Other,,machines and mechanical,
,,,,
,appliances,,,
,"-- For treating metal, including electric wire",,,CTSH or
8479.81,,,,
,coil-winders,,,RVC40
,"-- Mixing,",,"kneading, crushing, grinding,",
,,,,CTSH or
8479.82,"screening,",,"sifting, homogenising,",
,,,,RVC40
,emulsifying or stirring machines,,,
,,,,CTSH or
8479.89,-- Other,,,
,,,,RVC40
,,,,CTH or
8479.90,- Parts,,,
,,,,RVC40
,Moulding,boxes,for metal foundry; mould,
,bases; moulding patterns; moulds for metal,,,CTH or
84.80,,,,
,"(other than ingot moulds), metal carbides,",,,RVC40
,"glass, mineral materials, rubber or plastics",,,
,"Taps, cocks, valves and similar appliances",,,
,"for pipes, boiler shells, tanks, vats or the like,",,,
84.81,,,,
,including,pressure-reducing,valves and,
,thermostatically controlled valves,,,
,,,,CTSH or
8481.10,- Pressure-reducing valves,,,
,,,,RVC40
,- Valves,for,oleohydraulic or pneumatic,CTSH or
8481.20,,,,
,transmissions,,,RVC40
,,,,CTSH or
8481.30,- Check (nonreturn) valves,,,
,,,,RVC40
,,,,CTSH or
8481.40,- Safety or relief valves,,,
,,,,RVC40
,,,,CTSH or
8481.80,- Other appliances,,,
,,,,RVC40
,,,,CTH or
8481.90,- Parts,,,
,,,,RVC40
84.82,Ball or roller bearings,,,
,,,,CTSH or
8482.10,- Ball bearings,,,
,,,,RVC40
,"- Tapered roller bearings, including cone and",,,CTSH or
8482.20,,,,
,tapered roller assemblies,,,RVC40
,,,,CTSH or
8482.30,- Spherical roller bearings,,,
,,,,RVC40
,,,,CTSH or
8482.40,- Needle roller bearings,,,
,,,,RVC40
,,,,CTSH or
8482.50,- Other cylindrical roller bearings,,,
,,,,RVC40
,"- Other,",,including combined ball/roller,CTSH or
8482.80,,,,
,bearings,,,RVC40
,- Parts,,,
