HS Code (HS 2012),Unnamed: 0,Product-
,Product Description,
Chapter Heading Subheading,,Specific Rule
0902.20,- Other green tea (not fermented),WO
,- Black tea (fermented) and partly fermented,
,,CC or
0902.30,"tea, in immediate packings of a content not",
,,RVC40
,exceeding 3 kg,
,- Other black tea (fermented) and other partly,
0902.40,,CC
,fermented tea,
09.03 0903.00,Maté,CC
,Pepper of the genus Piper; dried or crushed,
09.04,or ground fruits of the genus Capsicum or of,
,the genus Pimenta,
,- Pepper,
0904.11,-- Neither crushed nor ground,WO
0904.12,-- Crushed or ground,CC
,- Fruits of the genus Capsicum or of the,
,,
,genus Pimenta,
0904.21,"-- Dried, neither crushed nor ground",WO
0904.22,-- Crushed or ground,WO
09.05,Vanilla,
0905.10,- Neither crushed nor ground,WO
0905.20,- Crushed or ground,CC
09.06,Cinnamon and cinnamon-tree flowers,
,- Neither crushed nor ground,
,-- Cinnamon (Cinnamomum zeylanicum,
0906.11,,WO
,Blume),
0906.19,-- Other,WO
0906.20,- Crushed or ground,CC
09.07,"Cloves (whole fruit, cloves and stems)",
0907.10,- Neither crushed nor ground,WO
0907.20,- Crushed or ground,CC
09.08,"Nutmeg, mace and cardamoms",
,- Nutmeg,
0908.11,-- Neither crushed nor ground,WO
0908.12,-- Crushed or ground,CC
,- Mace,
0908.21,-- Neither crushed nor ground,WO
0908.22,-- Crushed or ground,CC
,- Cardamoms,
0908.31,-- Neither crushed nor ground,WO
0908.32,-- Crushed or ground,CC
