HS Code (HS 2012),Unnamed: 0,Unnamed: 1,Unnamed: 2,Product-
,,Product Description,,
Chapter Heading Subheading,,,,Specific Rule
,Cotton,waste (including yarn waste and,,
52.02,,,,CC
,garnetted stock),,,
52.03 5203.00,"Cotton, carded or combed",,,CC
,"Cotton sewing thread, whether or not put up",,,
52.04,,,,CTH
,for retail sale,,,
,Cotton,"yarn (other than sewing thread),",,
52.05,"containing 85 % or more by weight of cotton,",,,CTH
,not put up for retail sale,,,
,Cotton,"yarn (other than sewing thread),",,
52.06,containing,less than 85 % by weight of,,CTH
,"cotton, not put up for retail sale",,,
,,,,CTH except
,Cotton yarn (other than sewing thread) put,,,from heading
52.07,,,,
,up for retail sale,,,52.05 or
,,,,52.06
,"Woven fabrics of cotton, containing 85 % or",,,
52.08,"more by weight of cotton, weighing not more",,,CTH
,than 200 g/m2,,,
,"Woven fabrics of cotton, containing 85 % or",,,
52.09,more by,"weight of cotton, weighing more",,CTH
,than 200 g/m2,,,
,"Woven fabrics of cotton, containing less than",,,
,"85 % by weight of cotton, mixed mainly or",,,
52.10,,,,CTH
,"solely with man-made fibres, weighing not",,,
,more than 200 g/m2,,,
,"Woven fabrics of cotton, containing less than",,,
,"85 % by weight of cotton, mixed mainly or",,,
52.11,,,,CTH
,"solely with man-made fibres, weighing more",,,
,than 200 g/m2,,,
52.12,Other woven fabrics of cotton,,,CTH
,CHAPTER,53: OTHER VEGETABLE,,
53,TEXTILE,FIBRES; PAPER YARN AND,,
,WOVEN FABRICS OF PAPER YARN,,,
,"Flax, raw or processed but not spun; flax tow",,,
53.01,and waste,(including yarn waste and,,CC
,garnetted stock),,,
,True hemp,"(Cannabis sativa L.), raw or",,
,processed but not spun; tow and waste of,,,
53.02,,,,CC
,true hemp,(including yarn waste and,,
,garnetted stock),,,
,Jute and other textile bast fibres (excluding,,,
,"flax, true hemp and ramie), raw or processed",,,
53.03,,,,CC
,but not spun; tow and waste of these fibres,,,
,(including yarn waste and garnetted stock),,,
