HS Code (HS 2012),Unnamed: 0,Product-
,Product Description,
Chapter Heading Subheading,,Specific Rule
,"cut, by sawing or otherwise, into blocks or",
,slabs of a rectangular (including square),
,shape,
,"Kaolin and other kaolinic clays, whether or",
25.07 2507.00,,CTH
,not calcined,
,Other clays (not including expanded clays of,
,"heading 68.06), andalusite, kyanite and",
25.08,,CTH
,"sillimanite, whether or not calcined; mullite;",
,chamotte or dinas earths,
25.09 2509.00,Chalk,CTH
,"Natural calcium phosphates, natural",
25.10,aluminium calcium phosphates and,CTH
,phosphatic chalk,
,Natural barium sulphate (barytes); natural,
,"barium carbonate (witherite), whether or not",
25.11,,CTH
,"calcined, other than barium oxide of heading",
,28.16,
,"Siliceous fossil meals (for example,",
,"kieselguhr, tripolite and diatomite) and",
25.12 2512.00,"similar siliceous earths, whether or not",CTH
,"calcined, of an apparent specific gravity of 1",
,or less,
,"Pumice stone; emery; natural corundum,",
25.13,"natural garnet and other natural abrasives,",CTH
,whether or not heat-treated,
,"Slate, whether or not roughly trimmed or",
,"merely cut, by sawing or otherwise, into",
25.14 2514.00,,CTH
,blocks or slabs of a rectangular (including,
,square) shape,
,"Marble, travertine, ecaussine and other",
,calcareous monumental or building stone of,
,"an apparent specific gravity of 2.5 or more,",
25.15,"and alabaster, whether or not roughly",CTH
,"trimmed or merely cut, by sawing or",
,"otherwise, into blocks or slabs of a",
,rectangular (including square) shape,
,"Granite, porphyry, basalt, sandstone and",
,"other monumental or building stone, whether",
25.16,"or not roughly trimmed or merely cut, by",CTH
,"sawing or otherwise, into blocks or slabs of a",
,rectangular (including square) shape,
,"Pebbles, gravel, broken or crushed stone, of",
,a kind commonly used for concrete,
25.17,,CTH
,"aggregates, for road metalling or for railway",
,"or other ballast, shingle and flint, whether or",
