HS Code (HS 2012),Unnamed: 0,Product-
,Product Description,
Chapter Heading Subheading,,Specific Rule
,Calculating machines and pocket-size data,
,"recording, reproducing and displaying",
,machines with calculating functions;,
,,CTH or
84.70,"accounting machines, postage-franking",
,,RVC40
,"machines, ticket-issuing machines and",
,"similar machines, incorporating a calculating",
,device; cash registers,
,Automatic data processing machines and,
,"units thereof; magnetic or optical readers,",
,machines for transcribing data onto data,CTH or
84.71,,
,media in coded form and machines for,RVC40
,"processing such data, not elsewhere",
,specified or included,
,"Other office machines (for example,",
,"hectograph or stencil duplicating machines,",
,"addressing machines, automatic banknote",
,,CTH or
84.72,"dispensers, coin-sorting machines, coin-",
,,RVC40
,"counting or wrapping machines, pencil-",
,"sharpening machines, perforating or stapling",
,machines),
,"Parts and accessories (other than covers,",
,carrying cases and the like) suitable for use,CTH or
84.73,,
,solely or principally with machines of,RVC40
,headings 84.69 to 84.72,
,"Machinery for sorting, screening, separating,",
,"washing, crushing, grinding, mixing or",
,"kneading earth, stone, ores or other mineral",
,"substances, in solid (including powder or",
,"paste) form; machinery for agglomerating,",
84.74,,
,"shaping or moulding solid mineral fuels,",
,"ceramic paste, unhardened cements,",
,plastering materials or other mineral,
,products in powder or paste form; machines,
,for forming foundry moulds of sand,
,"- Sorting, screening, separating or washing",CTSH or
8474.10,,
,machines,RVC40
,,CTSH or
8474.20,- Crushing or grinding machines,
,,RVC40
,- Mixing or kneading machines,
,,CTSH or
8474.31,-- Concrete or mortar mixers,
,,RVC40
,-- Machines for mixing mineral substances,CTSH or
8474.32,,
,with bitumen,RVC40
,,CTSH or
8474.39,-- Other,
,,RVC40
