HS Code (HS 2012),Unnamed: 0,Unnamed: 1,Unnamed: 2,Product-
,Product Description,,,
Chapter Heading Subheading,,,,Specific Rule
,,,,CTSH or
8477.30,- Blow moulding machines,,,
,,,,RVC40
,- Vacuum moulding machines and,other,,CTSH or
8477.40,,,,
,thermoforming machines,,,RVC40
,- Other machinery for moulding or otherwise,,,
,,,,
,forming,,,
,-- For moulding or retreading pneumatic,,,
,,,,CTSH or
8477.51,tyres or for moulding or otherwise forming,,,
,,,,RVC40
,inner tubes,,,
,,,,CTSH or
8477.59,-- Other,,,
,,,,RVC40
,,,,CTSH or
8477.80,- Other machinery,,,
,,,,RVC40
,,,,CTH or
8477.90,- Parts,,,
,,,,RVC40
,Machinery for preparing or making,up,,
84.78,"tobacco, not specified or included elsewhere",,,
,in this Chapter,,,
,,,,CTSH or
8478.10,- Machinery,,,
,,,,RVC40
,,,,CTH or
8478.90,- Parts,,,
,,,,RVC40
,Machines and mechanical appliances having,,,
84.79,"individual functions, not specified or included",,,
,elsewhere in this Chapter,,,
,"- Machinery for public works, building or the",,,CTSH or
8479.10,,,,
,like,,,RVC40
,- Machinery for the extraction or preparation,,,CTSH or
8479.20,,,,
,of animal or fixed vegetable fats or oils,,,RVC40
,- Presses for the manufacture of particle,,,
,board or fibre building board of wood or other,,,CTSH or
8479.30,,,,
,ligneous materials and other machinery for,,,RVC40
,treating wood or cork,,,
,,,,CTSH or
8479.40,- Rope or cable-making machines,,,
,,,,RVC40
,"- Industrial robots, not elsewhere specified or",,,CTSH or
8479.50,,,,
,included,,,RVC40
,,,,CTSH or
8479.60,- Evaporative air coolers,,,
,,,,RVC40
,- Passenger boarding bridges,,,
,,,,CTSH or
8479.71,-- Of a kind used in airports,,,
,,,,RVC40
,,,,CTSH or
8479.79,-- Other,,,
,,,,RVC40
