HS Code (HS 2012),Unnamed: 0,Unnamed: 1,Unnamed: 2,Product-
,,Product Description,,
Chapter Heading Subheading,,,,Specific Rule
,numerical,"control apparatus, other than",,
,switching apparatus of heading 85.17,,,
,Parts suitable for use solely or principally,,,
,,,,CTH or
85.38,"with the apparatus of heading 85.35, 85.36",,,
,,,,RVC40
,or 85.37,,,
,Electric filament,"or discharge lamps,",,
85.39,including sealed beam lamp units and ultra-,,,
,violet or infra-red lamps; arc-lamps,,,
,,,,CTSH or
8539.10,- Sealed beam lamp units,,,
,,,,RVC40
,"- Other filament lamps, excluding ultra-violet",,,
,,,,
,or infra-red lamps,,,
,,,,CTSH or
8539.21,-- Tungsten halogen,,,
,,,,RVC40
,"-- Other, of a power not exceeding 200 W",,,CTSH or
8539.22,,,,
,and for a voltage exceeding 100 V,,,RVC40
,,,,CTSH or
8539.29,-- Other,,,
,,,,RVC40
,- Discharge,"lamps, other than ultra-violet",,
,,,,
,lamps,,,
,,,,CTSH or
8539.31,"-- Fluorescent, hot cathode",,,
,,,,RVC40
,-- Mercury or sodium vapour lamps; metal,,,CTSH or
8539.32,,,,
,halide lamps,,,RVC40
,,,,CTSH or
8539.39,-- Other,,,
,,,,RVC40
,- Ultra-violet or infra-red lamps; arc-lamps,,,
,,,,CTSH or
8539.41,-- Arc-lamps,,,
,,,,RVC40
,,,,CTSH or
8539.49,-- Other,,,
,,,,RVC40
,,,,CTH or
8539.90,- Parts,,,
,,,,RVC40
,"Thermionic, cold cathode or photo-cathode",,,
,"valves and tubes (for example, vacuum or",,,
85.40,vapour or,"gas filled valves and tubes,",,
,mercury arc,"rectifying valves and tubes,",,
,"cathode-ray tubes, television camera tubes)",,,
,- Cathode-ray,"television picture tubes,",,
,,,,
,including video monitor cathode-ray tubes,,,
,,,,CTSH or
8540.11,-- Colour,,,
,,,,RVC40
,,,,CTSH or
8540.12,-- Monochrome,,,
,,,,RVC40
