HS Code (HS 2012),Unnamed: 0,Unnamed: 1,Unnamed: 2,Product-
,,Product Description,,
Chapter Heading Subheading,,,,Specific Rule
,,,,55.09 to
,,,,55.11
5516.92,-- Dyed,,,CTH
,,,,CTH except
,,,,from
5516.93,-- Of yarns of different colours,,,headings
,,,,55.09 to
,,,,55.11
5516.94,-- Printed,,,CTH
,CHAPTER,"56: WADDING, FELT AND",,
,"NONWOVENS; SPECIAL YARNS; TWINE,",,,
56,,,,
,"CORDAGE,",ROPES AND CABLES AND,,
,ARTICLES THEREOF,,,
,Wadding,of textile materials and articles,,
56.01,"thereof; textile fibres, not exceeding 5 mm in",,,CC
,"length (flock), textile dust and mill neps",,,
,"Felt, whether or","not impregnated, coated,",,
56.02,,,,CC
,covered or laminated,,,
,"Nonwovens,","whether or not impregnated,",,
56.03,,,,CC
,"coated, covered or laminated",,,
,Rubber,"thread and cord, textile covered;",,
,"textile yarn, and strip and the like of heading",,,
56.04,,,,CC
,54.04,"or 54.05, impregnated, coated,",,
,covered or sheathed with rubber or plastics,,,
,Metallised,"yarn, whether or not gimped,",,
,being textile,"yarn, or strip or the like of",,
56.05 5605.00,"heading 54.04 or 54.05, combined with metal",,,CC
,in the form,"of thread, strip or powder or",,
,covered with metal,,,
,Gimped,"yarn, and strip and the like of",,
,"heading 54.04 or 54.05, gimped (other than",,,
56.06 5606.00,those of,heading 56.05 and gimped,,CC
,horsehair yarn); chenille yarn (including flock,,,
,chenille yarn); loop wale-yarn,,,
,"Twine, cordage, ropes and cables, whether",,,
,or not plaited or braided and whether or not,,,
56.07,,,,CC
,"impregnated, coated, covered or sheathed",,,
,with rubber or plastics,,,
,"Knotted netting of twine, cordage or rope;",,,
56.08,made up fishing nets and other made up,,,
,"nets, of textile materials",,,
,- Of man-made textile materials,,,
5608.11,-- Made up fishing nets,,,CC
5608.19,-- Other,,,CTH
5608.90,- Other,,,CTH
