HS Code (HS 2012),Unnamed: 0,Product-
,Product Description,
Chapter Heading Subheading,,Specific Rule
,"Articles of yarn, strip or the like of heading",
56.09 5609.00,"54.04 or 54.05, twine, cordage, rope or",CTH
,"cables, not elsewhere specified or included",
,CHAPTER 57: CARPETS AND OTHER,
57,,CC
,TEXTILE FLOOR COVERINGS,
,CHAPTER 58: SPECIAL WOVEN,
,FABRICS; TUFTED TEXTILE FABRICS;,
58,,CC
,LACE; TAPESTRIES; TRIMMINGS;,
,EMBROIDERY,
,"CHAPTER 59: IMPREGNATED, COATED,",
,COVERED OR LAMINATED TEXTILE,
59,,CC
,FABRICS; TEXTILE ARTICLES OF A KIND,
,SUITABLE FOR INDUSTRIAL USE,
,CHAPTER 60: KNITTED OR CROCHETED,
60,,CC
,FABRICS,
,CHAPTER 61: ARTICLES OF APPAREL,
61,"AND CLOTHING ACCESSORIES,",CC
,KNITTED OR CROCHETED,
,CHAPTER 62: ARTICLES OF APPAREL,
62,"AND CLOTHING ACCESSORIES, NOT",CC
,KNITTED OR CROCHETED,
,CHAPTER 63: OTHER MADE UP TEXTILE,
63,ARTICLES; SETS; WORN CLOTHING,
,AND WORN TEXTILE ARTICLES; RAGS,
63.01,Blankets and travelling rugs,CC
,"Bed linen, table linen, toilet linen and kitchen",
63.02,,CC
,linen,
,Curtains (including drapes) and interior,
63.03,,CC
,blinds; curtain or bed valances,
,"Other furnishing articles, excluding those of",
63.04,,CC
,heading 94.04,
,"Sacks and bags, of a kind used for the",
63.05,,CC
,packing of goods,
,"Tarpaulins, awnings and sunblinds; tents;",
63.06,"sails for boats, sailboards or landcraft;",
,camping goods,
,"- Tarpaulins, awnings and sunblinds",
6306.12,-- Of synthetic fibres,CC
6306.19,-- Of other textile materials,CC
,- Tents,
,,CC or
6306.22,-- Of synthetic fibres,
,,RVC40
,,CC or
6306.29,-- Of other textile materials,
,,RVC40
