HS Code (HS 2012),Unnamed: 0,Unnamed: 1,Product-
,Product Description,,
Chapter Heading Subheading,,,Specific Rule
,,,CC or
6306.30 - Sails,,,
,,,RVC40
6306.40 - Pneumatic mattresses,,,CC
6306.90 - Other,,,CC
Other,"made up articles, including dress",,
63.07,,,
patterns,,,
"- Floor-cloths,","dish-cloths, dusters and",,
6307.10,,,CC
similar cleaning cloths,,,
,,,CC or
6307.20 - Life-jackets and life-belts,,,
,,,RVC40
6307.90 - Other,,,CC
"Sets consisting of woven fabric and yarn,",,,
"whether or not with accessories, for making",,,
"63.08 6308.00 up into rugs, tapestries, embroidered table",,,CC
"cloths or serviettes, or similar textile articles,",,,
put up in packings for retail sale,,,
63.09 6309.00 Worn clothing and other worn articles,,,CC
Used or,"new rags, scrap twine, cordage,",,
rope and cables and,worn out articles of,,
63.10,,,CC
"twine,","cordage, rope or cables, of textile",,
materials,,,
,SECTION XII,,
"FOOTWEAR, HEADGEAR, UMBRELLAS, SUN UMBRELLAS,",,,
"WALKING STICKS, SEAT-STICKS, WHIPS, RIDING-CROPS AND",,,
PARTS THEREOF; PREPARED FEATHERS AND ARTICLES MADE,,,
THEREWITH; ARTIFICIAL FLOWERS; ARTICLES OF HUMAN HAIR,,,
CHAPTER,"64: FOOTWEAR, GAITERS",,
64 AND,THE LIKE; PARTS OF SUCH,,
ARTICLES,,,
Waterproof footwear,with outer soles and,,
"uppers of rubber or of plastics, the uppers of",,,
,,,CTH or
64.01 which,are neither fixed to the sole nor,,
,,,RVC40
assembled,"by stitching, riveting, nailing,",,
"screwing, plugging or similar processes",,,
Other footwear with outer soles and uppers,,,CTH or
64.02,,,
of rubber or plastics,,,RVC40
"Footwear with outer soles of rubber, plastics,",,,
,,,CTH or
64.03 leather or composition leather and uppers of,,,
,,,RVC40
leather,,,
"Footwear with outer soles of rubber, plastics,",,,
,,,CTH or
64.04 leather or composition leather and uppers of,,,
,,,RVC40
textile materials,,,
,,,CTH or
64.05 Other footwear,,,
,,,RVC40
