HS Code (HS 2012),Unnamed: 0,Product-
,Product Description,
Chapter Heading Subheading,,Specific Rule
,cinematographic) film or paper in rolls or for,
,automatically exposing developed film to,
,rolls of photographic paper,
,- Other apparatus and equipment for,
,,CTSH or
9010.50,photographic (including cinematographic),
,,RVC40
,laboratories; negatoscopes,
,,CTSH or
9010.60,- Projection screens,
,,RVC40
,,CTH or
9010.90,- Parts and accessories,
,,RVC40
,"Compound optical microscopes, including",
90.11,"those for photomicrography,",
,cinephotomicrography or microprojection,
,,CTSH or
9011.10,- Stereoscopic microscopes,
,,RVC40
,"- Other microscopes, for photomicrography,",CTSH or
9011.20,,
,cinephoto-micrography or microprojection,RVC40
,,CTSH or
9011.80,- Other microscopes,
,,RVC40
,,CTH or
9011.90,- Parts and accessories,
,,RVC40
,Microscopes other than optical microscopes;,
90.12,,
,diffraction apparatus,
,- Microscopes other than optical,CTSH or
9012.10,,
,microscopes; diffraction apparatus,RVC40
,,CTH or
9012.90,- Parts and accessories,
,,RVC40
,Liquid crystal devices not constituting articles,
,provided for more specifically in other,
,"headings; lasers, other than laser diodes;",
90.13,,
,"other optical appliances and instruments, not",
,specified or included elsewhere in this,
,Chapter,
,- Telescopic sights for fitting to arms;,
,periscopes; telescopes designed to form,CTSH or
9013.10,,
,"parts of machines, appliances, instruments",RVC40
,or apparatus of this Chapter or Section XVI,
,,CTSH or
9013.20,"- Lasers, other than laser diodes",
,,RVC40
,,CTSH or
9013.80,"- Other devices, appliances and instruments",
,,RVC40
,,CTH or
9013.90,- Parts and accessories,
,,RVC40
,Direction finding compasses; other,
90.14,,
,navigational instruments and appliances,
