HS Code (HS 2012),Unnamed: 0,Unnamed: 1,Product-
,Product Description,,
Chapter Heading Subheading,,,Specific Rule
,,,CTSH or
9014.10,- Direction finding compasses,,
,,,RVC40
,- Instruments and appliances for,,
,,,CTSH or
9014.20,aeronautical or space navigation (other than,,
,,,RVC40
,compasses),,
,,,CTSH or
9014.80,- Other instruments and appliances,,
,,,RVC40
,,,CTH or
9014.90,- Parts and accessories,,
,,,RVC40
,Surveying (including photogrammetrical,,
,"surveying), hydrographic, oceanographic,",,
90.15,"hydrological, meteorological or geophysical",,
,"instruments and appliances, excluding",,
,compasses; rangefinders,,
,,,CTSH or
9015.10,- Rangefinders,,
,,,RVC40
,- Theodolites and tachymeters,,CTSH or
9015.20,,,
,(tacheometers),,RVC40
,,,CTSH or
9015.30,- Levels,,
,,,RVC40
,- Photogrammetrical surveying instruments,,CTSH or
9015.40,,,
,and appliances,,RVC40
,,,CTSH or
9015.80,- Other instruments and appliances,,
,,,RVC40
,,,CTH or
9015.90,- Parts and accessories,,
,,,RVC40
,"Balances of a sensitivity of 5 cg or better,",,CTH or
90.16 9016.00,,,
,with or without weights,,RVC40
,"Drawing, marking-out or mathematical",,
,"calculating instruments (for example, drafting",,
,"machines, pantographs, protractors, drawing",,
,"sets, slide rules, disc calculators);",,
90.17,,,
,"instruments for measuring length, for use in",,
,"the hand (for example, measuring rods and",,
,"tapes, micrometers, callipers), not specified",,
,or included elsewhere in this Chapter,,
,"- Drafting tables and machines, whether or",,CTSH or
9017.10,,,
,not automatic,,RVC40
,"- Other drawing, marking-out or",,CTSH or
9017.20,,,
,mathematical calculating instruments,,RVC40
,,,CTSH or
9017.30,"- Micrometers, callipers and gauges",,
,,,RVC40
,,,CTSH or
9017.80,- Other instruments,,
,,,RVC40
