HS Code (HS 2012),Unnamed: 0,Product-
,Product Description,
Chapter Heading Subheading,,Specific Rule
,- Other equipment for the heat treatment of,CTSH or
8514.40,,
,materials by induction or dielectric loss,RVC40
,,CTH or
8514.90,- Parts,
,,RVC40
,"Electric (including electrically heated gas),",
,"laser or other light or photon beam,",
,"ultrasonic, electron beam, magnetic pulse or",
,"plasma arc soldering, brazing or welding",
85.15,,
,"machines and apparatus, whether or not",
,capable of cutting; electric machines and,
,apparatus for hot spraying of metals or,
,cermets,
,- Brazing or soldering machines and,
,,
,apparatus,
,,CTSH or
8515.11,-- Soldering irons and guns,
,,RVC40
,,CTSH or
8515.19,-- Other,
,,RVC40
,- Machines and apparatus for resistance,
,,
,welding of metal,
,,CTSH or
8515.21,-- Fully or partly automatic,
,,RVC40
,,CTSH or
8515.29,-- Other,
,,RVC40
,- Machines and apparatus for arc (including,
,,
,plasma arc) welding of metals,
,,CTSH or
8515.31,-- Fully or partly automatic,
,,RVC40
,,CTSH or
8515.39,-- Other,
,,RVC40
,,CTSH or
8515.80,- Other machines and apparatus,
,,RVC40
,,CTH or
8515.90,- Parts,
,,RVC40
,Electric instantaneous or storage water,
,heaters and immersion heaters; electric,
,space heating apparatus and soil heating,
,apparatus; electro-thermic hair-dressing,
,"apparatus (for example, hair dryers, hair",
85.16,,
,"curlers, curling tong heaters) and hand",
,dryers; electric smoothing irons; other,
,electro-thermic appliances of a kind used for,
,domestic purposes; electric heating,
,"resistors, other than those of heading 85.45",
