HS Code (HS 2012),Unnamed: 0,Unnamed: 1,Product-
,,Product Description,
Chapter Heading Subheading,,,Specific Rule
,,,CTH or
8458.19,-- Other,,
,,,RVC40
,- Other lathes,,
,,,CTH except
,,,from
8458.91,-- Numerically controlled,,subheading
,,,"8537.10, or"
,,,RVC40
,,,CTH or
8458.99,-- Other,,
,,,RVC40
,Machine-tools (including way-type unit head,,
,machines),"for drilling, boring, milling,",
84.59,threading,"or tapping by removing metal,",
,other than lathes (including turning centres),,
,of heading 84.58,,
,,,CTH except
,,,from
8459.10,- Way-type unit head machines,,subheading
,,,"8537.10, or"
,,,RVC40
,- Other drilling machines,,
,,,CTH except
,,,from
8459.21,-- Numerically controlled,,subheading
,,,"8537.10, or"
,,,RVC40
,,,CTH or
8459.29,-- Other,,
,,,RVC40
,- Other boring-milling machines,,
,,,CTH except
,,,from
8459.31,-- Numerically controlled,,subheading
,,,"8537.10, or"
,,,RVC40
,,,CTH or
8459.39,-- Other,,
,,,RVC40
,,,CTH except
,,,from
8459.40,- Other boring machines,,subheading
,,,"8537.10, or"
,,,RVC40
,"- Milling machines, knee-type",,
,,,CTH except
8459.51,-- Numerically controlled,,from
,,,subheading
