HS Code (HS 2012),Unnamed: 0,Product-
,Product Description,
Chapter Heading Subheading,,Specific Rule
,,CTSH or
8411.82,"-- Of a power exceeding 5,000 kW",
,,RVC40
,- Parts,
,,CTH or
8411.91,-- Of turbo-jets or turbo-propellers,
,,RVC40
,,CTH or
8411.99,-- Other,
,,RVC40
84.12,Other engines and motors,
,,CTSH or
8412.10,- Reaction engines other than turbo-jets,
,,RVC40
,- Hydraulic power engines and motors,
,,CTSH or
8412.21,-- Linear acting (cylinders),
,,RVC40
,,CTSH or
8412.29,-- Other,
,,RVC40
,- Pneumatic power engines and motors,
,,CTSH or
8412.31,-- Linear acting (cylinders),
,,RVC40
,,CTSH or
8412.39,-- Other,
,,RVC40
,,CTSH or
8412.80,- Other,
,,RVC40
,,CTH or
8412.90,- Parts,
,,RVC40
,"Pumps for liquids, whether or not fitted with",
84.13,,
,a measuring device; liquid elevators,
,- Pumps fitted or designed to be fitted with a,
,,
,measuring device,
,"-- Pumps for dispensing fuel or lubricants, of",CTSH or
8413.11,,
,the type used in filling-stations or in garages,RVC40
,,CTSH or
8413.19,-- Other,
,,RVC40
,"- Hand pumps, other than those of",CTSH or
8413.20,,
,subheading 8413.11 or 8413.19,RVC40
,"- Fuel, lubricating or cooling medium pumps",CTSH or
8413.30,,
,for internal combustion piston engines,RVC40
,,CTSH or
8413.40,- Concrete pumps,
,,RVC40
,- Other reciprocating positive displacement,CTSH or
8413.50,,
,pumps,RVC40
,,CTSH or
8413.60,- Other rotary positive displacement pumps,
,,RVC40
,,CTSH or
8413.70,- Other centrifugal pumps,
,,RVC40
,- Other pumps; liquid elevators,
