HS Code (HS 2012),Unnamed: 0,Product-
,Product Description,
Chapter Heading Subheading,,Specific Rule
,- Permanent magnets and articles intended,
,to become permanent magnets after,
,magnetisation,
,,CTSH or
8505.11,-- Of metal,
,,RVC40
,,CTSH or
8505.19,-- Other,
,,RVC40
,"- Electro-magnetic couplings, clutches and",CTSH or
8505.20,,
,brakes,RVC40
,,CTH or
8505.90,"- Other, including parts",
,,RVC40
85.06,Primary cells and primary batteries,
,,CTSH or
8506.10,- Manganese dioxide,
,,RVC40
,,CTSH or
8506.30,- Mercuric oxide,
,,RVC40
,,CTSH or
8506.40,- Silver oxide,
,,RVC40
,,CTSH or
8506.50,- Lithium,
,,RVC40
,,CTSH or
8506.60,- Air-zinc,
,,RVC40
,,CTSH or
8506.80,- Other primary cells and primary batteries,
,,RVC40
,,CTH or
8506.90,- Parts,
,,RVC40
,"Electric accumulators, including separators",
85.07,"therefor, whether or not rectangular",
,(including square),
,"- Lead-acid, of a kind used for starting piston",CTH or
8507.10,,
,engines,RVC40
,,CTSH or
8507.20,- Other lead-acid accumulators,
,,RVC40
,,CTSH or
8507.30,- Nickel-cadmium,
,,RVC40
,,CTSH or
8507.40,- Nickel-iron,
,,RVC40
,,CTSH or
8507.50,- Nickel-metal hydride,
,,RVC40
,,CTSH or
8507.60,- Lithium-ion,
,,RVC40
,,CTSH or
8507.80,- Other accumulators,
,,RVC40
,,CTH or
8507.90,- Parts,
,,RVC40
