HS Code (HS 2012),Unnamed: 0,Product-
Product Description,,
Chapter Heading Subheading,,Specific Rule
"rolls of a width not exceeding 36 cm, or cut",,
"to size or shape; handkerchiefs, cleansing",,
"tissues, towels, tablecloths, serviettes, bed",,
"sheets and similar household, sanitary or",,
"hospital articles, articles of apparel and",,
"clothing accessories, of paper pulp, paper,",,
cellulose wadding or webs of cellulose fibres,,
"Cartons, boxes, cases, bags and other",,
"packing containers, of paper, paperboard,",,
cellulose wadding or webs of cellulose fibres;,,CTH or
48.19,,
"box files, letter trays, and similar articles, of",,RVC40
"paper or paperboard of a kind used in offices,",,
shops or the like,,
"Registers, account books, note books, order",,
"books, receipt books, letter pads,",,
"memorandum pads, diaries and similar",,
"articles, exercise books, blotting-pads,",,
"binders (loose-leaf or other), folders, file",,CTH or
48.20,,
"covers, manifold business forms, interleaved",,RVC40
"carbon sets and other articles of stationery,",,
of paper or paperboard; albums for samples,,
"or for collections and book covers, of paper",,
or paperboard,,
"Paper or paperboard labels of all kinds,",,CTH or
48.21,,
whether or not printed,,RVC40
"Bobbins, spools, cops and similar supports",,
,,CTH or
"48.22 of paper pulp, paper or paperboard (whether",,
,,RVC40
or not perforated or hardened),,
"Other paper, paperboard, cellulose wadding",,
"and webs of cellulose fibres, cut to size or",,
,,CTH or
"48.23 shape; other articles of paper pulp, paper,",,
,,RVC40
"paperboard, cellulose wadding or webs of",,
cellulose fibres,,
"CHAPTER 49: PRINTED BOOKS,",,
"NEWSPAPERS, PICTURES AND OTHER",,
,,CTH or
49 PRODUCTS OF THE PRINTING,,
,,RVC40
"INDUSTRY; MANUSCRIPTS,",,
TYPESCRIPTS AND PLANS,,
SECTION XI,,
TEXTILES AND TEXTILE ARTICLES,,
50 CHAPTER 50: SILK,,
50.01 5001.00 Silk-worm cocoons suitable for reeling,,CC
50.02 5002.00 Raw silk (not thrown),,CC
Silk waste (including cocoons unsuitable for,,
50.03 5003.00,,CC
"reeling, yarn waste and garnetted stock)",,
