HS Code (HS 2012),Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Product-
,,Product Description,,,
Chapter Heading Subheading,,,,,Specific Rule
,,,,,CTSH or
8413.81,-- Pumps,,,,
,,,,,RVC40
,,,,,CTSH or
8413.82,-- Liquid elevators,,,,
,,,,,RVC40
,- Parts,,,,
,,,,,CTH or
8413.91,-- Of pumps,,,,
,,,,,RVC40
,,,,,CTH or
8413.92,-- Of liquid elevators,,,,
,,,,,RVC40
,Air or vacuum,"pumps, air or other",gas,,
,compressors,and fans; ventilating,or,,
84.14,,,,,
,"recycling hoods incorporating a fan, whether",,,,
,or not fitted with filters,,,,
,,,,,CTSH or
8414.10,- Vacuum pumps,,,,
,,,,,RVC40
,,,,,CTSH or
8414.20,- Hand- or foot-operated air pumps,,,,
,,,,,RVC40
,- Compressors of a kind used in refrigerating,,,,CTSH or
8414.30,,,,,
,equipment,,,,RVC40
,- Air compressors mounted on a wheeled,,,,CTSH or
8414.40,,,,,
,chassis for towing,,,,RVC40
,- Fans,,,,
,"-- Table, floor, wall, window, ceiling or roof",,,,
,,,,,CTSH or
8414.51,"fans, with a self-contained electric motor of",,,,
,,,,,RVC40
,an output not exceeding 125 W,,,,
,,,,,CTSH or
8414.59,-- Other,,,,
,,,,,RVC40
,- Hoods having a maximum horizontal side,,,,CTSH or
8414.60,,,,,
,not exceeding 120 cm,,,,RVC40
,,,,,CTSH or
8414.80,- Other,,,,
,,,,,RVC40
,,,,,CTH or
8414.90,- Parts,,,,
,,,,,RVC40
,Air conditioning,"machines, comprising",a,,
,motor-driven fan and elements for changing,,,,
84.15,the temperature,"and humidity, including",,,
,those machines in which the humidity cannot,,,,
,be separately regulated,,,,
,- Window,"or wall types, self-contained",or,,CTSH or
8415.10,,,,,
,“split-system”,,,,RVC40
,- Of a kind,"used for persons, in motor",,,CTH or
8415.20,,,,,
,vehicles,,,,RVC40
,- Other,,,,
