HS Code (HS 2012),Unnamed: 0,Product-
,Product Description,
Chapter Heading Subheading,,Specific Rule
,- Television camera tubes; image converters,CTSH or
8540.20,,
,and intensifiers; other photo-cathode tubes,RVC40
,"- Data/graphic display tubes, monochrome;",
,"data/graphic display tubes, colour, with a",CTSH or
8540.40,,
,phosphor dot screen pitch smaller than 0.4,RVC40
,mm,
,,CTSH or
8540.60,- Other cathode-ray tubes,
,,RVC40
,"- Microwave tubes (for example,",
,"magnetrons, klystrons, travelling wave",
,,
,"tubes, carcinotrons), excluding grid-",
,controlled tubes,
,,CTSH or
8540.71,-- Magnetrons,
,,RVC40
,,CTSH or
8540.79,-- Other,
,,RVC40
,- Other valves and tubes,
,,CTSH or
8540.81,-- Receiver or amplifier valves and tubes,
,,RVC40
,,CTSH or
8540.89,-- Other,
,,RVC40
,- Parts,
,,CTH or
8540.91,-- Of cathode-ray tubes,
,,RVC40
,,CTH or
8540.99,-- Other,
,,RVC40
,"Diodes, transistors and similar",
,semiconductor devices; photosensitive,
,"semiconductor devices, including",
85.41,photovoltaic cells whether or not assembled,
,in modules or made up into panels; light,
,emitting diodes; mounted piezo-electric,
,crystals,
,"- Diodes, other than photosensitive or light",CTSH or
8541.10,,
,emitting diodes,RVC40
,"- Transistors, other than photosensitive",
,,
,transistors,
,,CTSH or
8541.21,-- With a dissipation rate of less than 1 W,
,,RVC40
,,CTSH or
8541.29,-- Other,
,,RVC40
,"- Thyristors, diacs and triacs, other than",CTSH or
8541.30,,
,photosensitive devices,RVC40
,"- Photosensitive semiconductor devices,",CTSH or
8541.40,,
,including photovoltaic cells whether or not,RVC40
