HS Code (HS 2012),Unnamed: 0,Unnamed: 1,Unnamed: 2,Product-
,,Product Description,,
Chapter Heading Subheading,,,,Specific Rule
,,,,CC except
1103.20,- Pellets,,,from Chapter
,,,,10
,Cereal,grains otherwise worked (for,,
,"example,","hulled, rolled, flaked, pearled,",,
11.04,sliced or,"kibbled), except rice of heading",,
,"10.06; germ of cereals, whole, rolled, flaked",,,
,or ground,,,
,- Rolled or flaked grains,,,
1104.12,-- Of oats,,,CC
,,,,CC except
1104.19,-- Of other cereals,,,from Chapter
,,,,10
,"- Other worked grains (for example, hulled,",,,
,,,,
,"pearled, sliced or kibbled)",,,
1104.22,-- Of oats,,,CC
,,,,CC except
1104.23,-- Of maize (corn),,,from Chapter
,,,,10
,,,,CC except
1104.29,-- Of other cereals,,,from Chapter
,,,,10
,,,,CC except
,"- Germ of cereals, whole, rolled, flaked or",,,
1104.30,,,,from Chapter
,ground,,,
,,,,10
,"Flour, meal, powder, flakes, granules",and,,
11.05,,,,CC
,pellets of potatoes,,,
,"Flour, meal",and powder of the dried,,
,"leguminous vegetables of heading 07.13, of",,,
11.06,,,,CC
,sago or of roots or tubers of heading 07.14,,,
,or of the products of Chapter 8,,,
,,,,CC except
11.07,"Malt, whether or not roasted",,,from Chapter
,,,,10
11.08,Starches; inulin,,,CC
11.09 1109.00,"Wheat gluten, whether or not dried",,,CC
,CHAPTER,12: OIL SEEDS AND,,
,OLEAGINOUS,FRUITS;,,
12,"MISCELLANEOUS GRAINS, SEEDS AND",,,
,FRUIT;,INDUSTRIAL OR MEDICINAL,,
,PLANTS; STRAW AND FODDER,,,
12.01,"Soya beans, whether or not broken",,,WO
,"Ground-nuts,",not roasted or otherwise,,
12.02,,,,
,"cooked, whether or not shelled or broken",,,
