HS Code (HS 2012),Unnamed: 0,Product-
,Product Description,
Chapter Heading Subheading,,Specific Rule
,"Electrical signalling, safety or traffic control",
,"equipment for railways, tramways, roads,",
85.30,"inland waterways, parking facilities, port",
,installations or airfields (other than those of,
,heading 86.08),
,,CTSH or
8530.10,- Equipment for railways or tramways,
,,RVC40
,,CTSH or
8530.80,- Other equipment,
,,RVC40
,,CTH or
8530.90,- Parts,
,,RVC40
,Electric sound or visual signalling apparatus,
,"(for example, bells, sirens, indicator panels,",
85.31,,
,"burglar or fire alarms), other than those of",
,heading 85.12 or 85.30,
,,CTSH or
8531.10,- Burglar or fire alarms and similar apparatus,
,,RVC40
,- Indicator panels incorporating liquid crystal,CTSH or
8531.20,,
,devices (LCD) or light emitting diodes (LED),RVC40
,,CTSH or
8531.80,- Other apparatus,
,,RVC40
,,CTH or
8531.90,- Parts,
,,RVC40
,"Electrical capacitors, fixed, variable or",
85.32,,
,adjustable (pre-set),
,- Fixed capacitors designed for use in,
,50/60 Hz circuits and having a reactive,CTSH or
8532.10,,
,power handling capacity of not less than 0.5,RVC40
,kvar (power capacitors),
,- Other fixed capacitors,
,,CTSH or
8532.21,-- Tantalum,
,,RVC40
,,CTSH or
8532.22,-- Aluminium electrolytic,
,,RVC40
,,CTSH or
8532.23,"-- Ceramic dielectric, single layer",
,,RVC40
,,CTSH or
8532.24,"-- Ceramic dielectric, multilayer",
,,RVC40
,,CTSH or
8532.25,-- Dielectric of paper or plastics,
,,RVC40
,,CTSH or
8532.29,-- Other,
,,RVC40
,,CTSH or
8532.30,- Variable or adjustable (pre-set) capacitors,
,,RVC40
