HS Code (HS 2012),Unnamed: 0,Product-
,Product Description,
Chapter Heading Subheading,,Specific Rule
,,CTSH or
7219.35,-- Of a thickness of less than 0.5 mm,
,,RVC40
,,CTSH or
7219.90,- Other,
,,RVC40
,,CTH except
,"Flat-rolled products of stainless steel, of a",from heading
72.20,,
,width of less than 600 mm,"72.19, or"
,,RVC40
,"Bars and rods, hot-rolled, in irregularly",CTH or
72.21 7221.00,,
,"wound coils, of stainless steel",RVC40
,Other bars and rods of stainless steel;,
,,CTH or
72.22,"angles, shapes and sections of stainless",
,,RVC40
,steel,
,,CTH or
72.23 7223.00,Wire of stainless steel,
,,RVC40
,Other alloy steel in ingots or other primary,
,,CTH or
72.24,forms; semi-finished products of other alloy,
,,RVC40
,steel,
,"Flat-rolled products of other alloy steel, of a",CTH or
72.25,,
,width of 600 mm or more,RVC40
,,CTH except
,"Flat-rolled products of other alloy steel, of a",from heading
72.26,,
,width of less than 600 mm,"72.25, or"
,,RVC40
,"Bars and rods, hot-rolled, in irregularly",CTH or
72.27,,
,"wound coils, of other alloy steel",RVC40
,Other bars and rods of other alloy steel;,CTH except
,"angles, shapes and sections, of other alloy",from heading
72.28,,
,"steel; hollow drill bars and rods, of alloy or","72.27, or"
,non-alloy steel,RVC40
,,CTH or
72.29,Wire of other alloy steel,
,,RVC40
,CHAPTER 73: ARTICLES OF IRON OR,CTH or
73,,
,STEEL,RVC40
,CHAPTER 74: COPPER AND ARTICLES,
74,,
,THEREOF,
,Copper mattes; cement copper (precipitated,CTH or
74.01 7401.00,,
,copper),RVC40
,Unrefined copper; copper anodes for,CTH or
74.02 7402.00,,
,electrolytic refining,RVC40
,"Refined copper and copper alloys,",CTH or
74.03,,
,unwrought,RVC40
74.04 7404.00,Copper waste and scrap,CTH
,,CTH or
74.05 7405.00,Master alloys of copper,
,,RVC40
