HS Code (HS 2012),Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Product-
,,,Product Description,,
Chapter Heading Subheading,,,,,Specific Rule
,-,Frozen,fillets of fish of the families,,
,"Bregmacerotidae, Euclichthyidae, Gadidae,",,,,
,,,,,
,"Macrouridae,",,"Melanonidae, Merlucciidae,",,
,Moridae and Muraenolepididae,,,,
,"-- Cod (Gadus morhua, Gadus ogac, Gadus",,,,CC or
0304.71,,,,,
,macrocephalus),,,,RVC40
,,,,,CC or
0304.72,-- Haddock (Melanogrammus aeglefinus),,,,
,,,,,RVC40
,,,,,CC or
0304.73,-- Coalfish (Pollachius virens),,,,
,,,,,RVC40
0304.74,"-- Hake (Merluccius spp., Urophycis spp.)",,,,CTH
,,,,,CC or
0304.75,-- Alaska Pollack (Theragra chalcogramma),,,,
,,,,,RVC40
,,,,,CC or
0304.79,-- Other,,,,
,,,,,RVC40
,- Frozen fillets of other fish,,,,
,--,Pacific,"salmon (Oncorhynchus nerka,",,
,Oncorhynchus,,"gorbuscha, Oncorhynchus",,
,"keta,",Oncorhynchus,"tschawytscha,",,
,,,,,CC or
0304.81,Oncorhynchus,,"kisutch, Oncorhynchus",,
,,,,,RVC40
,masou,and,"Oncorhynchus rhodurus),",,
,Atlantic salmon (Salmo salar) and Danube,,,,
,salmon (Huchohucho),,,,
,"-- Trout (Salmo trutta, Oncorhynchus mykiss,",,,,
,Oncorhynchus,,"clarki, Oncorhynchus",,
,,,,,CC or
0304.82,"aguabonita,",,"Oncorhynchus gilae,",,
,,,,,RVC40
,Oncorhynchus,,apache and Oncorhynchus,,
,chrysogaster),,,,
,--,Flat fish,"(Pleuronectidae, Bothidae,",,
,,,,,CC or
0304.83,"Cynoglossidae,",,"Soleidae, Scophthalmidae",,
,,,,,RVC40
,and Citharidae),,,,
,,,,,CC or
0304.84,-- Swordfish (Xiphias gladius),,,,
,,,,,RVC40
,,,,,CC or
0304.85,-- Toothfish (Dissostichus spp.),,,,
,,,,,RVC40
,--,Herrings,"(Clupea harengus, Clupea",,CC or
0304.86,,,,,
,pallasii),,,,RVC40
,"-- Tunas (of the genus Thunnus), skipjack or",,,,
,,,,,CC or
0304.87,stripe-bellied,,bonito (Euthynnus,,
,,,,,RVC40
,(Katsuwonus) pelamis),,,,
,,,,,CC or
0304.89,-- Other,,,,
,,,,,RVC40
,"- Other, frozen",,,,
0304.91,-- Swordfish (Xiphias gladius),,,,CC
