HS Code (HS 2012),Unnamed: 0,Unnamed: 1,Product-
,Product Description,,
Chapter Heading Subheading,,,Specific Rule
08.08,"Apples, pears and quinces, fresh",,CC
,"Apricots, cherries, peaches (including",,
08.09,,,CC
,"nectarines), plums and sloes, fresh",,
08.10,"Other fruit, fresh",,CC
,"Fruit and nuts, uncooked or cooked by",,
,"steaming or boiling in water, frozen, whether",,
08.11,,,CC
,or not containing added sugar or other,,
,sweetening matter,,
,"Fruit and nuts, provisionally preserved (for",,
,"example, by sulphur dioxide gas, in brine, in",,
08.12,sulphur water or in other preservative,,CC
,"solutions), but unsuitable in that state for",,
,immediate consumption,,
,"Fruit, dried, other than that of headings 08.01",,
08.13,to 08.06; mixtures of nuts or dried fruits of,,
,this Chapter,,
0813.10,- Apricots,,CC
0813.20,- Prunes,,CC
0813.30,- Apples,,CC
0813.40,- Other fruit,,CC
,- Mixtures of nuts or dried fruits of this,,CC or
0813.50,,,
,Chapter,,RVC40
,Peel of citrus fruit or melons (including,,
,"watermelons), fresh, frozen, dried or",,CC or
08.14 0814.00,,,
,"provisionally preserved in brine, in sulphur",,RVC40
,water or in other preservative solutions,,
,"CHAPTER 9: COFFEE, TEA, MATÉ AND",,
09,,,
,SPICES,,
,"Coffee, whether or not roasted or",,
,decaffeinated; coffee husks and skins; coffee,,
09.01,,,
,substitutes containing coffee in any,,
,proportion,,
,"- Coffee, not roasted",,
0901.11,-- Not decaffeinated,,CC
0901.12,-- Decaffeinated,,RVC40
,"- Coffee, roasted",,
0901.21,-- Not decaffeinated,,RVC40
0901.22,-- Decaffeinated,,RVC40
0901.90,- Other,,RVC40
09.02,"Tea, whether or not flavoured",,
,- Green tea (not fermented) in immediate,,
0902.10,,,WO
,packings of a content not exceeding 3 kg,,
