HS Code (HS 2012),Unnamed: 0,Unnamed: 1,Product-
,,Product Description,
Chapter Heading Subheading,,,Specific Rule
,,,CTH or
8532.90,- Parts,,
,,,RVC40
,Electrical resistors (including rheostats and,,
85.33,,,
,"potentiometers), other than heating resistors",,
,"- Fixed carbon resistors, composition or film",,CTSH or
8533.10,,,
,types,,RVC40
,- Other fixed resistors,,
,-- For,a power handling capacity not,CTSH or
8533.21,,,
,exceeding 20 W,,RVC40
,,,CTSH or
8533.29,-- Other,,
,,,RVC40
,- Wirewound,"variable resistors, including",
,,,
,rheostats and potentiometers,,
,-- For,a power handling capacity not,CTSH or
8533.31,,,
,exceeding 20 W,,RVC40
,,,CTSH or
8533.39,-- Other,,
,,,RVC40
,"- Other variable resistors, including rheostats",,CTSH or
8533.40,,,
,and potentiometers,,RVC40
,,,CTH or
8533.90,- Parts,,
,,,RVC40
,,,CTH or
85.34 8534.00,Printed circuits,,
,,,RVC40
,Electrical,apparatus for switching or,
,"protecting electrical circuits, or for making",,
,connections to or in electrical circuits (for,,
,,,CTH or
85.35,"example, switches, fuses, lightning arresters,",,
,,,RVC40
,voltage,"limiters, surge suppressors, plugs",
,"and other connectors, junction boxes), for a",,
,"voltage exceeding 1,000 volts",,
,Electrical,apparatus for switching or,
,"protecting electrical circuits, or for making",,
,connections to or in electrical circuits (for,,
,"example,","switches, relays, fuses, surge",
,,,CTH or
85.36,"suppressors,","plugs, sockets, lamp-holders",
,,,RVC40
,"and other connectors, junction boxes), for a",,
,voltage,"not exceeding 1,000 volts;",
,connectors,"for optical fibres, optical fibre",
,bundles or cables,,
,"Boards, panels, consoles, desks, cabinets",,
,"and other bases, equipped with two or more",,
,apparatus,"of heading 85.35 or 85.36, for",CTH or
85.37,,,
,electric,control or the distribution of,RVC40
,"electricity,",including those incorporating,
,"instruments or apparatus of Chapter 90, and",,
