HS Code (HS 2012),Unnamed: 0,Product-
,Product Description,
Chapter Heading Subheading,,Specific Rule
,"Seeds of anise, badian, fennel, coriander,",
09.09,,
,cumin or caraway; juniper berries,
,- Seeds of coriander,
0909.21,-- Neither crushed nor ground,WO
0909.22,-- Crushed or ground,CC
,- Seeds of cumin,
0909.31,-- Neither crushed nor ground,WO
0909.32,-- Crushed or ground,CC
,"- Seeds of anise, badian, caraway or fennel;",
,,
,juniper berries,
0909.61,-- Neither crushed nor ground,WO
0909.62,-- Crushed or ground,CC
,"Ginger, saffron, turmeric (curcuma), thyme,",
09.10,,
,"bay leaves, curry and other spices",
,- Ginger,
0910.11,-- Neither crushed nor ground,WO
0910.12,-- Crushed or ground,CC
0910.20,- Saffron,CC
0910.30,- Turmeric (curcuma),CC
,- Other spices,
,-- Mixtures referred to in Note 1(b) to this,CC or
0910.91,,
,Chapter,RVC40
,,CC or
0910.99,-- Other,
,,RVC40
10,CHAPTER 10: CEREALS,WO
,CHAPTER 11: PRODUCTS OF THE,
11,MILLING INDUSTRY; MALT; STARCHES;,
,INULIN; WHEAT GLUTEN,
11.01 1101.00,Wheat or meslin flour,CC
,,CC except
11.02,Cereal flours other than of wheat or meslin,from Chapter
,,10
11.03,"Cereal groats, meal and pellets",
,- Groats and meal,
1103.11,-- Of wheat,CC
,,CC except
1103.13,-- Of maize (corn),from Chapter
,,10
,,CC except
1103.19,-- Of other cereals,from Chapter
,,10
