HS Code (HS 2012),Unnamed: 0,Product-
,Product Description,
Chapter Heading Subheading,,Specific Rule
,"- Telephone sets, including telephones for",
,cellular networks or for other wireless,
,networks,
,,CTSH or
8517.11,-- Line telephone sets with cordless handsets,
,,RVC40
,-- Telephones for cellular networks or for,CTSH or
8517.12,,
,other wireless networks,RVC40
,,CTSH or
8517.18,-- Other,
,,RVC40
,- Other apparatus for transmission or,
,"reception of voice, images or other data,",
,including apparatus for communication in a,
,wired or wireless network (such as a local or,
,wide area network),
,,CTSH or
8517.61,-- Base stations,
,,RVC40
,"-- Machines for the reception, conversion",
,"and transmission or regeneration of voice,",CTSH or
8517.62,,
,"images or other data, including switching and",RVC40
,routing apparatus,
,,CTSH or
8517.69,-- Other,
,,RVC40
,,CTH or
8517.70,- Parts,
,,RVC40
,Microphones and stands therefor;,
,"loudspeakers, whether or not mounted in",
,their enclosures; headphones and,
,"earphones, whether or not combined with a",
85.18,,
,"microphone, and sets consisting of a",
,microphone and one or more loudspeakers;,
,audio-frequency electric amplifiers; electric,
,sound amplifier sets,
,,CTSH or
8518.10,- Microphones and stands therefor,
,,RVC40
,"- Loudspeakers, whether or not mounted in",
,,
,their enclosures,
,"-- Single loudspeakers, mounted in their",CTSH or
8518.21,,
,enclosures,RVC40
,"-- Multiple loudspeakers, mounted in the",CTSH or
8518.22,,
,same enclosure,RVC40
,,CTSH or
8518.29,-- Other,
,,RVC40
,"- Headphones and earphones, whether or",CTSH or
8518.30,,
,"not combined with a microphone, and sets",RVC40
