HS Code (HS 2012),Unnamed: 0,Product-
,Product Description,
Chapter Heading Subheading,,Specific Rule
,Ferrous waste and scrap; remelting scrap,
72.04,,CTH
,ingots of iron or steel,
,"Granules and powders, of pig iron,",CTH or
72.05,,
,"spiegeleisen, iron or steel",RVC40
,Iron and non-alloy steel in ingots or other,
,,CTH or
72.06,primary forms (excluding iron of heading,
,,RVC40
,72.03),
,,CTH except
,Semi-finished products of iron or non-alloy,from heading
72.07,,
,steel,"72.06, or"
,,RVC40
,,CTH except
,"Flat-rolled products of iron or non-alloy steel,",
,,from heading
72.08,"of a width of 600 mm or more, hot-rolled, not",
,,"72.07, or"
,"clad, plated or coated",
,,RVC40
,,CTH except
,"Flat-rolled products of iron or non-alloy steel,",
,,from heading
72.09,"of a width of 600 mm or more, cold-rolled",
,,"72.08, or"
,"(cold-reduced), not clad, plated or coated",
,,RVC40
,,CTH except
,"Flat-rolled products of iron or non-alloy steel,",from heading
72.10,"of a width of 600 mm or more, clad, plated or",72.08 or
,coated,"72.09, or"
,,RVC40
,,CTH except
,"Flat-rolled products of iron or non-alloy steel,",from heading
72.11,"of a width of less than 600 mm, not clad,",72.08 or
,plated or coated,"72.09, or"
,,RVC40
,,CTH except
,,from
,"Flat-rolled products of iron or non-alloy steel,",
,,headings
72.12,"of a width of less than 600 mm, clad, plated",
,,72.08 to
,or coated,
,,"72.11, or"
,,RVC40
,"Bars and rods, hot-rolled, in irregularly",CTH or
72.13,,
,"wound coils, of iron or non-alloy steel",RVC40
,"Other bars and rods of iron or non-alloy steel,",CTH except
,"not further worked than forged, hot-rolled,",from heading
72.14,,
,"hot-drawn or hot-extruded, but including","72.13, or"
,those twisted after rolling,RVC40
,,CTH except
72.15,Other bars and rods of iron or non-alloy steel,from heading
,,72.13 or
