HS Code (HS 2012),Unnamed: 0,Product-
,Product Description,
Chapter Heading Subheading,,Specific Rule
,"Nickel tubes, pipes and tube or pipe fittings",CTH or
75.07,,
,"(for example, couplings, elbows, sleeves)",RVC40
,,CTH or
75.08,Other articles of nickel,
,,RVC40
,CHAPTER 76: ALUMINIUM AND,
76,,
,ARTICLES THEREOF,
,,CTH or
76.01,Unwrought aluminium,
,,RVC40
76.02 7602.00,Aluminium waste and scrap,CTH
,,CTH or
76.03,Aluminium powders and flakes,
,,RVC40
,,CTH or
76.04,"Aluminium bars, rods and profiles",
,,RVC40
,,CTH except
,,from heading
76.05,Aluminium wire,
,,"76.04, or"
,,RVC40
,"Aluminium plates, sheets and strip, of a",CTH or
76.06,,
,thickness exceeding 0.2 mm,RVC40
,Aluminium foil (whether or not printed or,
,"backed with paper, paperboard, plastics or",
,,CTH or
76.07,similar backing materials) of a thickness,
,,RVC40
,(excluding any backing) not exceeding,
,0.2 mm,
,,CTH or
76.08,Aluminium tubes and pipes,
,,RVC40
,"Aluminium tube or pipe fittings (for example,",CTH or
76.09 7609.00,,
,"couplings, elbows, sleeves)",RVC40
,Aluminium structures (excluding,
,prefabricated buildings of heading 94.06),
,"and parts of structures (for example, bridges",
,"and bridge-sections, towers, lattice masts,",
,,CTH or
76.10,"roofs, roofing frameworks, doors and",
,,RVC40
,windows and their frames and thresholds for,
,"doors, balustrades, pillars and columns);",
,"aluminium plates, rods, profiles, tubes and",
,"the like, prepared for use in structures",
,"Aluminium reservoirs, tanks, vats and similar",
,"containers, for any material (other than",
,"compressed or liquefied gas), of a capacity",CTH or
76.11 7611.00,,
,"exceeding 300 l, whether or not lined or heat-",RVC40
,"insulated, but not fitted with mechanical or",
,thermal equipment,
,"Aluminium casks, drums, cans, boxes and",CTH or
76.12,,
,similar containers (including rigid or,RVC40
