HS Code (HS 2012),Unnamed: 0,Product-
,Product Description,
Chapter Heading Subheading,,Specific Rule
,-- With a through-the-lens viewfinder (single,
,,CTSH or
9006.51,"lens reflex (SLR)), for roll film of a width not",
,,RVC40
,exceeding 35 mm,
,"-- Other, for roll film of a width less than 35",CTSH or
9006.52,,
,mm,RVC40
,,CTSH or
9006.53,"-- Other, for roll film of a width of 35 mm",
,,RVC40
,,CTSH or
9006.59,-- Other,
,,RVC40
,- Photographic flashlight apparatus and,
,,
,flashbulbs,
,-- Discharge lamp (“electronic”) flashlight,CTSH or
9006.61,,
,apparatus,RVC40
,,CTSH or
9006.69,-- Other,
,,RVC40
,- Parts and accessories,
,,CTH or
9006.91,-- For cameras,
,,RVC40
,,CTH or
9006.99,-- Other,
,,RVC40
,"Cinematographic cameras and projectors,",
90.07,whether or not incorporating sound recording,
,or reproducing apparatus,
,,CTSH or
9007.10,- Cameras,
,,RVC40
,,CTSH or
9007.20,- Projectors,
,,RVC40
,- Parts and accessories,
,,CTH or
9007.91,-- For cameras,
,,RVC40
,,CTH or
9007.92,-- For projectors,
,,RVC40
,"Image projectors, other than",
90.08,cinematographic; photographic (other than,
,cinematographic) enlargers and reducers,
,,CTSH or
9008.50,"- Projectors, enlargers and reducers",
,,RVC40
,,CTH or
9008.90,- Parts and accessories,
,,RVC40
,Apparatus and equipment for photographic,
,"(including cinematographic) laboratories, not",
90.10,,
,specified or included elsewhere in this,
,Chapter; negatoscopes; projection screens,
,- Apparatus and equipment for automatically,CTSH or
9010.10,,
,developing photographic (including,RVC40
