HS Code (HS 2012),Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Product-
,,,Product Description,,
Chapter Heading Subheading,,,,,Specific Rule
,-,Electric,instantaneous or storage water,,CTSH or
8516.10,,,,,
,heaters and immersion heaters,,,,RVC40
,-,Electric,space heating apparatus and,,
,,,,,
,electric soil heating apparatus,,,,
,,,,,CTSH or
8516.21,-- Storage heating radiators,,,,
,,,,,RVC40
,,,,,CTSH or
8516.29,-- Other,,,,
,,,,,RVC40
,-,Electro-thermic,hair-dressing or hand-,,
,,,,,
,drying apparatus,,,,
,,,,,CTSH or
8516.31,-- Hair dryers,,,,
,,,,,RVC40
,,,,,CTSH or
8516.32,-- Other hair-dressing apparatus,,,,
,,,,,RVC40
,,,,,CTSH or
8516.33,-- Hand-drying apparatus,,,,
,,,,,RVC40
,,,,,CTSH or
8516.40,- Electric smoothing irons,,,,
,,,,,RVC40
,,,,,CTSH or
8516.50,- Microwave ovens,,,,
,,,,,RVC40
,-,Other ovens;,"cookers, cooking plates,",,CTSH or
8516.60,,,,,
,"boiling rings, grillers and roasters",,,,RVC40
,- Other electro-thermic appliances,,,,
,,,,,CTSH or
8516.71,-- Coffee or tea makers,,,,
,,,,,RVC40
,,,,,CTSH or
8516.72,-- Toasters,,,,
,,,,,RVC40
,,,,,CTSH or
8516.79,-- Other,,,,
,,,,,RVC40
,,,,,CTSH or
8516.80,- Electric heating resistors,,,,
,,,,,RVC40
,,,,,CTH or
8516.90,- Parts,,,,
,,,,,RVC40
,Telephone,,"sets, including telephones for",,
,cellular,networks,or for other wireless,,
,networks;,,other apparatus for the,,
,"transmission or reception of voice, images or",,,,
,other,"data,",including apparatus for,,
85.17,,,,,
,communication,,in a wired or wireless,,
,network,(such,as a local or wide area,,
,"network),",,other than transmission or,,
,"reception apparatus of heading 84.43, 85.25,",,,,
,85.27 or 85.28,,,,
