HS Code (HS 2012),Unnamed: 0,Unnamed: 1,Unnamed: 2,Product-
,,Product Description,,
Chapter Heading Subheading,,,,Specific Rule
,-,Filtering or purifying machinery and,,
,,,,
,apparatus for gases,,,
,-- Intake air filters for internal combustion,,,CTSH or
8421.31,,,,
,engines,,,RVC40
,,,,CTSH or
8421.39,-- Other,,,
,,,,RVC40
,- Parts,,,
,,,,CTH or
8421.91,"-- Of centrifuges, including centrifugal dryers",,,
,,,,RVC40
,,,,CTH or
8421.99,-- Other,,,
,,,,RVC40
,Dish,washing machines; machinery for,,
,cleaning or drying bottles or other containers;,,,
,machinery,"for filling, closing, sealing or",,
,"labelling bottles, cans, boxes, bags or other",,,
84.22,"containers; machinery for capsuling bottles,",,,
,"jars,",tubes and similar containers; other,,
,packing,or wrapping machinery (including,,
,heat-shrink wrapping machinery); machinery,,,
,for aerating beverages,,,
,- Dish washing machines,,,
,,,,CTSH or
8422.11,-- Of the household type,,,
,,,,RVC40
,,,,CTSH or
8422.19,-- Other,,,
,,,,RVC40
,- Machinery for cleaning or drying bottles or,,,CTSH or
8422.20,,,,
,other containers,,,RVC40
,"- Machinery for filling, closing, sealing,",or,,
,"labelling bottles, cans, boxes, bags or other",,,
,,,,CTSH or
8422.30,"containers; machinery for capsuling bottles,",,,
,,,,RVC40
,"jars, tubes and similar containers; machinery",,,
,for aerating beverages,,,
,-,Other packing or wrapping machinery,,CTSH or
8422.40,,,,
,(including heat-shrink wrapping machinery),,,RVC40
,,,,CTH or
8422.90,- Parts,,,
,,,,RVC40
,Weighing machinery (excluding balances of,,,
,a,"sensitivity of 5 cg or better), including",,
84.23,weight,operated counting or checking,,
,machines; weighing machine weights of all,,,
,kinds,,,
,-,"Personal weighing machines, including",,CTSH or
8423.10,,,,
,baby scales; household scales,,,RVC40
,- Scales for continuous weighing of goods on,,,CTSH or
8423.20,,,,
,conveyors,,,RVC40
