HS Code (HS 2012),Unnamed: 0,Product-
,Product Description,
Chapter Heading Subheading,,Specific Rule
,"-- Spindles, spindle flyers, spinning rings and",CTH or
8448.33,,
,ring travellers,RVC40
,,CTH or
8448.39,-- Other,
,,RVC40
,- Parts and accessories of weaving,
,machines (looms) or of their auxiliary,
,machinery,
,,CTH or
8448.42,"-- Reeds for looms, healds and heald-frames",
,,RVC40
,,CTH or
8448.49,-- Other,
,,RVC40
,- Parts and accessories of machines of,
,,
,heading 84.47 or of their auxiliary machinery,
,"-- Sinkers, needles and other articles used in",CTH or
8448.51,,
,forming stitches,RVC40
,,CTH or
8448.59,-- Other,
,,RVC40
,Machinery for the manufacture or finishing of,
,"felt or nonwovens in the piece or in shapes,",CTH or
84.49 8449.00,,
,including machinery for making felt hats;,RVC40
,blocks for making hats,
,Household or laundry-type washing,
84.50,"machines, including machines which both",
,wash and dry,
,"- Machines, each of a dry linen capacity not",
,,
,exceeding 10 kg,
,,CTSH or
8450.11,-- Fully-automatic machines,
,,RVC40
,"-- Other machines, with built-in centrifugal",CTSH or
8450.12,,
,drier,RVC40
,,CTSH or
8450.19,-- Other,
,,RVC40
,"- Machines, each of a dry linen capacity",CTSH or
8450.20,,
,exceeding 10 kg,RVC40
,,CTH or
8450.90,- Parts,
,,RVC40
,Machinery (other than machines of heading,
,"84.50) for washing, cleaning, wringing,",
,"drying, ironing, pressing (including fusing",
,"presses), bleaching, dyeing, dressing,",
84.51,"finishing, coating or impregnating textile",
,"yarns, fabrics or made up textile articles and",
,machines for applying the paste to the base,
,fabric or other support used in the,
,manufacture of floor coverings such as,
