HS Code (HS 2012),Unnamed: 0,Unnamed: 1,Product-
,,Product Description,
Chapter Heading Subheading,,,Specific Rule
,,,CTH or
8453.90,- Parts,,
,,,RVC40
,"Converters, ladles, ingot moulds and casting",,
84.54,"machines, of a kind used in metallurgy or in",,
,metal foundries,,
,,,CTSH or
8454.10,- Converters,,
,,,RVC40
,,,CTSH or
8454.20,- Ingot moulds and ladles,,
,,,RVC40
,,,CTSH or
8454.30,- Casting machines,,
,,,RVC40
,,,CTH or
8454.90,- Parts,,
,,,RVC40
84.55,Metal-rolling mills and rolls therefor,,
,,,CTSH or
8455.10,- Tube mills,,
,,,RVC40
,- Other rolling mills,,
,,,CTSH or
8455.21,-- Hot or combination hot and cold,,
,,,RVC40
,,,CTSH or
8455.22,-- Cold,,
,,,RVC40
,,,CTSH or
8455.30,- Rolls for rolling mills,,
,,,RVC40
,,,CTH or
8455.90,- Other parts,,
,,,RVC40
,Machine-tools for working any material by,,
,"removal of material, by laser or other light or",,
,"photon beam, ultrasonic, electro-discharge,",,CTH or
84.56,,,
,"electro-chemical, electron beam, ionic-beam",,RVC40
,or plasma arc processes; water-jet cutting,,
,machines,,
,,,CTH except
,Machining,"centres, unit construction",from
84.57,machines (single station) and multi-station,,subheading
,"transfer machines, for working metal",,"8537.10, or"
,,,RVC40
,Lathes,(including turning centres) for,
84.58,,,
,removing metal,,
,- Horizontal lathes,,
,,,CTH except
,,,from
8458.11,-- Numerically controlled,,subheading
,,,"8537.10, or"
,,,RVC40
