HS Code (HS 2012),Unnamed: 0,Unnamed: 1,Product-
,,Product Description,
Chapter Heading Subheading,,,Specific Rule
,,,CTSH or
8301.10,- Padlocks,,
,,,RVC40
,,,CTSH or
8301.20,- Locks of a kind used for motor vehicles,,
,,,RVC40
,,,CTSH or
8301.30,- Locks of a kind used for furniture,,
,,,RVC40
,,,CTSH or
8301.40,- Other locks,,
,,,RVC40
,- Clasps,"and frames with clasps,",CTSH or
8301.50,,,
,incorporating locks,,RVC40
,,,CTH or
8301.60,- Parts,,
,,,RVC40
,,,CTH or
8301.70,- Keys presented separately,,
,,,RVC40
,"Base metal mountings, fittings and similar",,
,articles suitable,"for furniture, doors,",
,"staircases,","windows, blinds, coachwork,",
,"saddlery, trunks, chests, caskets or the like;",,CTH or
83.02,,,
,base metal,"hat-racks, hat-pegs, brackets",RVC40
,and similar fixtures; castors with mountings,,
,of base metal;,automatic door closers of,
,base metal,,
,"Armoured or reinforced safes, strong-boxes",,
,and doors,and safe deposit lockers for,CTH or
83.03 8303.00,,,
,"strong-rooms, cash or deed boxes and the",,RVC40
,"like, of base metal",,
,"Filing cabinets, card-index cabinets, paper",,
,"trays, paper rests, pen trays, office-stamp",,
,,,CTH or
83.04 8304.00,"stands and similar office or desk equipment,",,
,,,RVC40
,"of base metal, other than office furniture of",,
,heading 94.03,,
,"Fittings for loose-leaf binders or files, letter",,
,"clips, letter","corners, paper clips, indexing",
,,,CTH or
83.05,"tags and similar office articles, of base metal;",,
,,,RVC40
,staples in,"strips (for example, for offices,",
,"upholstery, packaging), of base metal",,
,"Bells, gongs and","the like, non-electric, of",
,"base metal; statuettes and other ornaments,",,CTH or
83.06,,,
,"of base metal; photograph, picture or similar",,RVC40
,"frames, of base metal; mirrors of base metal",,
,"Flexible tubing of base metal, with or without",,CTH or
83.07,,,
,fittings,,RVC40
,"Clasps, frames with clasps, buckles, buckle-",,
,,,CTH or
83.08,"clasps, hooks, eyes, eyelets and the like, of",,
,,,RVC40
,"base metal,","of a kind used for clothing,",
