HS Code (HS 2012),Unnamed: 0,Product-
,Product Description,
Chapter Heading Subheading,,Specific Rule
,"shovels, excavators, shovel loaders, tamping",
,machines and road rollers,
,"Other moving, grading, levelling, scraping,",
,"excavating, tamping, compacting, extracting",
,,CTH or
84.30,"or boring machinery, for earth, minerals or",
,,RVC40
,ores; pile-drivers and pile-extractors; snow-,
,ploughs and snow-blowers,
,Parts suitable for use solely or principally,
,,CTH or
84.31,with the machinery of headings 84.25 to,
,,RVC40
,84.30,
,"Agricultural, horticultural or forestry",
84.32,machinery for soil preparation or cultivation;,
,lawn or sports-ground rollers,
,,CTSH or
8432.10,- Ploughs,
,,RVC40
,"- Harrows, scarifiers, cultivators, weeders",
,,
,and hoes,
,,CTSH or
8432.21,-- Disc harrows,
,,RVC40
,,CTSH or
8432.29,-- Other,
,,RVC40
,,CTSH or
8432.30,"- Seeders, planters and transplanters",
,,RVC40
,,CTSH or
8432.40,- Manure spreaders and fertiliser distributors,
,,RVC40
,,CTSH or
8432.80,- Other machinery,
,,RVC40
,,CTH or
8432.90,- Parts,
,,RVC40
,"Harvesting or threshing machinery, including",
,straw or fodder balers; grass or hay mowers;,
84.33,"machines for cleaning, sorting or grading",
,"eggs, fruit or other agricultural produce, other",
,than machinery of heading 84.37,
,"- Mowers for lawns, parks or sports-grounds",
,"-- Powered, with the cutting device rotating in",CTSH or
8433.11,,
,a horizontal plane,RVC40
,,CTSH or
8433.19,-- Other,
,,RVC40
,"- Other mowers, including cutter bars for",CTSH or
8433.20,,
,tractor mounting,RVC40
,,CTSH or
8433.30,- Other haymaking machinery,
,,RVC40
,"- Straw or fodder balers, including pick-up",CTSH or
8433.40,,
,balers,RVC40
