HS Code (HS 2012),Unnamed: 0,Product-
,Product Description,
Chapter Heading Subheading,,Specific Rule
,,CC or
0305.71,-- Shark fins,
,,RVC40
,,CC or
0305.72,"-- Fish heads, tails and maws",
,,RVC40
,,CC or
0305.79,-- Other,
,,RVC40
,"Crustaceans, whether in shell or not, live,",
,"fresh, chilled, frozen, dried, salted or in brine;",
,"smoked crustaceans, whether in shell or not,",
,whether or not cooked before or during the,
03.06,"smoking process; crustaceans, in shell,",CC
,"cooked by steaming or by boiling in water,",
,"whether or not chilled, frozen, dried, salted or",
,"in brine; flours, meals and pellets of",
,"crustaceans, fit for human consumption",
,"Molluscs, whether in shell or not, live, fresh,",
,"chilled, frozen, dried, salted or in brine;",
,"smoked molluscs, whether in shell or not,",
03.07,,CC
,whether or not cooked before or during the,
,"smoking process; flours, meals and pellets of",
,"molluscs, fit for human consumption",
,Aquatic invertebrates other than crustaceans,
,"and molluscs, live, fresh, chilled, frozen,",
,"dried, salted or in brine; smoked aquatic",
,invertebrates other than crustaceans and,
03.08,"molluscs, whether or not cooked before or",CC
,"during the smoking process; flours, meals",
,and pellets of aquatic invertebrates other,
,"than crustaceans and molluscs, fit for human",
,consumption,
,CHAPTER 4: DAIRY PRODUCE; BIRDS’,
,EGGS; NATURAL HONEY; EDIBLE,
04,,
,"PRODUCTS OF ANIMAL ORIGIN, NOT",
,ELSEWHERE SPECIFIED OR INCLUDED,
,"Milk and cream, not concentrated nor",
,,CC or
04.01,containing added sugar or other sweetening,
,,RVC40
,matter,
,"Milk and cream, concentrated or containing",CC or
04.02,,
,added sugar or other sweetening matter,RVC40
,"Buttermilk, curdled milk and cream, yogurt,",
,kephir and other fermented or acidified milk,
,"and cream, whether or not concentrated or",CC or
04.03,,
,containing added sugar or other sweetening,RVC40
,"matter or flavoured or containing added fruit,",
,nuts or cocoa,
