HS Code (HS 2012),Unnamed: 0,Product-
,Product Description,
Chapter Heading Subheading,,Specific Rule
,,CTSH or
8406.81,-- Of an output exceeding 40 MW,
,,RVC40
,,CTSH or
8406.82,-- Of an output not exceeding 40 MW,
,,RVC40
,,CTH or
8406.90,- Parts,
,,RVC40
,Spark-ignition reciprocating or rotary internal,CTH or
84.07,,
,combustion piston engines,RVC40
,Compression-ignition internal combustion,
84.08,piston engines (diesel or semi-diesel,
,engines),
,,CTH or
8408.10,- Marine propulsion engines,
,,RVC40
,- Engines of a kind used for the propulsion of,CC or
8408.20,,
,vehicles of Chapter 87,RVC40
,,CTH or
8408.90,- Other engines,
,,RVC40
,Parts suitable for use solely or principally,CTH or
84.09,,
,with the engines of heading 84.07 or 84.08,RVC40
,"Hydraulic turbines, water wheels, and",
84.10,,
,regulators therefor,
,- Hydraulic turbines and water wheels,
,,CTSH or
8410.11,"-- Of a power not exceeding 1,000 kW",
,,RVC40
,"-- Of a power exceeding 1,000 kW but not",CTSH or
8410.12,,
,"exceeding 10,000 kW",RVC40
,,CTSH or
8410.13,"-- Of a power exceeding 10,000 kW",
,,RVC40
,,CTH or
8410.90,"- Parts, including regulators",
,,RVC40
,"Turbo-jets, turbo-propellers and other gas",
84.11,,
,turbines,
,- Turbo-jets,
,,CTSH or
8411.11,-- Of a thrust not exceeding 25 kN,
,,RVC40
,,CTSH or
8411.12,-- Of a thrust exceeding 25 kN,
,,RVC40
,- Turbo-propellers,
,,CTSH or
8411.21,"-- Of a power not exceeding 1,100 kW",
,,RVC40
,,CTSH or
8411.22,"-- Of a power exceeding 1,100 kW",
,,RVC40
,- Other gas turbines,
,,CTSH or
8411.81,"-- Of a power not exceeding 5,000 kW",
,,RVC40
