HS Code (HS 2012),Unnamed: 0,Product-
,Product Description,
Chapter Heading Subheading,,Specific Rule
,- Starter motors and dual purpose starter-,CTSH or
8511.40,,
,generators,RVC40
,,CTSH or
8511.50,- Other generators,
,,RVC40
,,CTSH or
8511.80,- Other equipment,
,,RVC40
,,CTH or
8511.90,- Parts,
,,RVC40
,Electrical lighting or signalling equipment,
,"(excluding articles of heading 85.39),",
85.12,"windscreen wipers, defrosters and",
,"demisters, of a kind used for cycles or motor",
,vehicles,
,- Lighting or visual signalling equipment of a,CTSH or
8512.10,,
,kind used on bicycles,RVC40
,,CTSH or
8512.20,- Other lighting or visual signalling equipment,
,,RVC40
,,CTSH or
8512.30,- Sound signalling equipment,
,,RVC40
,"- Windscreen wipers, defrosters and",CTSH or
8512.40,,
,demisters,RVC40
,,CTH or
8512.90,- Parts,
,,RVC40
,Portable electric lamps designed to function,
,"by their own source of energy (for example,",
85.13,"dry batteries, accumulators, magnetos),",
,other than lighting equipment of heading,
,85.12,
,,CTSH or
8513.10,- Lamps,
,,RVC40
,,CTH or
8513.90,- Parts,
,,RVC40
,Industrial or laboratory electric furnaces and,
,ovens (including those functioning by,
,induction or dielectric loss); other industrial,
85.14,,
,or laboratory equipment for the heat,
,treatment of materials by induction or,
,dielectric loss,
,,CTSH or
8514.10,- Resistance heated furnaces and ovens,
,,RVC40
,- Furnaces and ovens functioning by,CTSH or
8514.20,,
,induction or dielectric loss,RVC40
,,CTSH or
8514.30,- Other furnaces and ovens,
,,RVC40
