HS Code (HS 2012),Unnamed: 0,Product-
,Product Description,
Chapter Heading Subheading,,Specific Rule
,,CTH or
8482.91,"-- Balls, needles and rollers",
,,RVC40
,,CTH or
8482.99,-- Other,
,,RVC40
,Transmission shafts (including cam shafts,
,and crank shafts) and cranks; bearing,
,housings and plain shaft bearings; gears and,
,gearing; ball or roller screws; gear boxes and,
84.83,,
,"other speed changers, including torque",
,"converters; flywheels and pulleys, including",
,pulley blocks; clutches and shaft couplings,
,(including universal joints),
,- Transmission shafts (including cam shafts,CTSH or
8483.10,,
,and crank shafts) and cranks,RVC40
,"- Bearing housings, incorporating ball or",CTSH or
8483.20,,
,roller bearings,RVC40
,"- Bearing housings, not incorporating ball or",CTSH or
8483.30,,
,roller bearings; plain shaft bearings,RVC40
,"- Gears and gearing, other than toothed",
,"wheels, chain sprockets and other",
,,CTSH or
8483.40,transmission elements presented separately;,
,,RVC40
,ball or roller screws; gear boxes and other,
,"speed changers, including torque converters",
,"- Flywheels and pulleys, including pulley",CTSH or
8483.50,,
,blocks,RVC40
,- Clutches and shaft couplings (including,CTSH or
8483.60,,
,universal joints),RVC40
,"- Toothed wheels, chain sprockets and other",
,,CTH or
8483.90,transmission elements presented separately;,
,,RVC40
,parts,
,Gaskets and similar joints of metal sheeting,
,combined with other material or of two or,
,more layers of metal; sets or assortments of,CTH or
84.84,,
,"gaskets and similar joints, dissimilar in",RVC40
,"composition, put up in pouches, envelopes",
,or similar packings; mechanical seals,
,Machines and apparatus of a kind used,
,solely or principally for the manufacture of,
,"semiconductor boules or wafers,",
84.86,"semiconductor devices, electronic integrated",
,circuits or flat panel displays; machines and,
,apparatus specified in Note 9(C) to this,
,Chapter; parts and accessories,
,- Machines and apparatus for the,CTSH or
8486.10,,
,manufacture of boules or wafers,RVC40
